,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,HDZ,SDP,BM,Uzrok
270,DUGO SELO,20,KOZINŠČAK II,OBITELJSKA KUĆA VL DUŠAN ŽIVKOVIĆ,"KOZINŠČAK, ULICA TOME KAPITANA 6, DUGO SELO",615,296,24,121,45,"20 KOZINŠČAK II, DUGO SELO",Nema u 2016/2015
271,"ZAGREB-CENTAR, ZAPAD",309,KOZJAK,PROSTORIJE MJESNOG ODBORA,"BIJENIČKA CESTA 97, ZAGREB-CENTAR, ZAPAD",3320,1698,151,523,310,"102 KOZJAK, ZAGREBCENTAR ZAPAD103 KOZJAK, ZAGREBCENTAR ZAPAD104 KOZJAK, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
272,KRAPINSKE TOPLICE,3,KRAPINSKE TOPLICE,DOM KULTURE,"K.Š.ĐALSKOG 1, KRAPINSKE TOPLICE",173,40,0,17,18,"3 KRAPINSKE TOPLICE, KRAPINSKE TOPLICE",Nema u 2016/2015
273,BUJE - BUIE,4,KRASICACRASSIZA,DRUŠTVENI DOMCENTRO SOCIALE,"KRASICA BB, BUJE - BUIE",224,92,0,9,54,"4 KRASICACRASSIZA, BUJE  BUIE",Nema u 2016/2015
274,BUJE - BUIE,5,KRŠETECARSETTE,OSNOVNA ŠKOLA KRŠETESCUOLA ELEMENTARE CARSETTE,"KRŠETE BB, BUJE - BUIE",284,79,3,11,45,"5 KRŠETECARSETTE, BUJE  BUIE",Nema u 2016/2015
275,KUMROVEC,1,KUMROVEC I RAZVOR,VIJEĆNICA OPĆINE KUMROVEC,"KUMROVEC, ULICA JOSIPA BROZA 12, KUMROVEC",402,232,2,34,71,"1 KUMROVEC I RAZVOR, KUMROVEC",Nema u 2016/2015
276,PLETERNICA,33,KUĆA MARIJE ČIČKOVIĆ,MALI BILAČ,"MALI BILAČ 15, PLETERNICA",15,12,0,8,0,"33 KUĆA MARIJE ČIČKOVIĆ, PLETERNICA",Nema u 2016/2015
277,PLETERNICA,35,KUĆA PETRA ŽALCA,POLOJE,"POLOJE 2C, PLETERNICA",79,36,3,12,3,"35 KUĆA PETRA ŽALCA, PLETERNICA",Nema u 2016/2015
278,PLETERNICA,34,KUĆA STANKA BARIŠIĆA DVORANA,VESELA,"VESELA 4A, PLETERNICA",114,62,11,41,1,"34 KUĆA STANKA BARIŠIĆA DVORANA, PLETERNICA",Nema u 2016/2015
279,PLETERNICA,31,KUĆA ĐURE LOMBAR,PLETERNIČKI MIHALJEVCI,"PLETERNIČKI MIHALJEVCI 29, PLETERNICA",10,5,0,5,0,"31 KUĆA ĐURE LOMBAR, PLETERNICA",Nema u 2016/2015
280,PAKRAC,22,LAKTOFRIZ KUSONJE,KUSONJE,"KUSONJE BB, PAKRAC",298,78,3,28,37,"22 LAKTOFRIZ KUSONJE, PAKRAC",Nema u 2016/2015
281,ŠTEFANJE,6,LAMINAC,DRUŠTVENI DOM LAMINAC,"LAMINAC 133, ŠTEFANJE",253,97,3,36,37,"6 LAMINAC, ŠTEFANJE",Nema u 2016/2015
282,OPRTALJ - PORTOLE,2,LIVADELEVADE,MJESNA DVORANA LIVADE,"LIVADE 4A, OPRTALJ - PORTOLE",334,158,0,23,101,"2 LIVADELEVADE, OPRTALJ  PORTOLE",Nema u 2016/2015
283,LIŽNJAN - LISIGNANO,1,LIŽNJAN  BIRAČKO MJESTO BR 1,OPĆINSKA SALA VIJEĆNICA,"LIŽNJAN, KRASA 7, LIŽNJAN - LISIGNANO",664,264,13,65,136,"1 LIŽNJAN  BIRAČKO MJESTO BR 1, LIŽNJAN  LISIGNANO",Nema u 2016/2015
284,LIŽNJAN - LISIGNANO,2,LIŽNJAN  BIRAČKO MJESTO BR 2,OŠ LIŽNJAN,"LIŽNJAN, KRASA 27, LIŽNJAN - LISIGNANO",599,278,11,49,130,"2 LIŽNJAN  BIRAČKO MJESTO BR 2, LIŽNJAN  LISIGNANO",Nema u 2016/2015
285,DUBROVNIK,39,LJUBAČ MO LJUBAČ,DOM LJUBAČ,"LJUBAČ BB, DUBROVNIK",66,41,0,23,8,"39 LJUBAČ MO LJUBAČ, DUBROVNIK",Nema u 2016/2015
286,DUBROVNIK,40,LOPUD MO LOPUD,OSNOVNA ŠKOLA ANTUN MASLE,"LOPUD, DUBROVNIK",312,142,14,43,42,"40 LOPUD MO LOPUD, DUBROVNIK",Nema u 2016/2015
287,SAMOBOR,30,MALA  RAKOVICA,OSNOVNA ŠKOLA U MIRNOVCU,"MIRNOVEC, SAMOBOR",503,287,21,67,69,"30 MALA  RAKOVICA, SAMOBOR",Nema u 2016/2015
288,MALI LOŠINJ,1,MALI LOŠINJ,GRAD MALI LOŠINJ,"MALI LOŠINJ, RIVA LOŠINJSKIH KAPETANA 7, MALI LOŠINJ",859,373,28,89,145,"1 MALI LOŠINJ, MALI LOŠINJ",Preostale BM koje kada bi se zbrojile su prevelike
289,MALI LOŠINJ,2,MALI LOŠINJ,MUZEJ APOKSIOMENA,"MALI LOŠINJ, RIVA LOŠINJSKIH KAPETANA 13, MALI LOŠINJ",799,381,20,93,153,"2 MALI LOŠINJ, MALI LOŠINJ",Preostale BM koje kada bi se zbrojile su prevelike
290,MALI LOŠINJ,5,MALI LOŠINJ,POSLOVNI PROSTOR BIVŠE POSLOVNICE OTP BANKE,"MALI LOŠINJ, CRESKA 3, MALI LOŠINJ",1127,534,46,176,160,"5 MALI LOŠINJ, MALI LOŠINJ",Preostale BM koje kada bi se zbrojile su prevelike
291,"ZAGREB-CENTAR, ZAPAD",735,MARKUŠEVEC,DJEČJI VRTIĆ MARKUŠEVEC,"ŠTEFANOVEC 172, ZAGREB-CENTAR, ZAPAD",3948,1849,157,559,253,"244 MARKUŠEVEC, ZAGREBCENTAR ZAPAD245 MARKUŠEVEC, ZAGREBCENTAR ZAPAD246 MARKUŠEVEC, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
292,"ZAGREB-CENTAR, ZAPAD",247,MARKUŠEVEC,OŠ MARKUŠEVEC PODRUČNA ŠKOLA BAČUN,"MARKUŠEVEČKA CESTA 38, ZAGREB-CENTAR, ZAPAD",720,380,18,137,45,"247 MARKUŠEVEC, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
293,ZABOK,14,MARTINIŠĆE,VATROGASNI DOM DVD GUBAŠEVO,"MARTINIŠĆE 5, ZABOK",483,223,3,79,102,"14 MARTINIŠĆE, ZABOK",Nema u 2016/2015
294,BUJE - BUIE,6,MARUŠIĆIMARUSSICI,DRUŠTVENI DOM MARUŠIĆICENTRO SOCIALE MARUSSICI,"MARUŠIĆI BB, BUJE - BUIE",131,60,1,3,48,"6 MARUŠIĆIMARUSSICI, BUJE  BUIE",Nema u 2016/2015
295,MEDULIN,1,MEDULIN  BIRAČKO MJESTO BR 1,DRUŠTVENI DOM  PROSTORIJA BR1,"CENTAR 58, MEDULIN, MEDULIN",1366,501,19,118,226,"1 MEDULIN  BIRAČKO MJESTO BR 1, MEDULIN",Nema u 2016/2015
296,MEDULIN,2,MEDULIN  BIRAČKO MJESTO BR 2,DRUŠTVENI DOM  PROSTORIJA BR2,"CENTAR 58, MEDULIN, MEDULIN",1515,587,22,142,278,"2 MEDULIN  BIRAČKO MJESTO BR 2, MEDULIN",Nema u 2016/2015
297,METKOVIĆ,5,METKOVIĆ,DUBRAVICAMJESNI URED DUBRAVICA BB,"DUBRAVICA B.B., METKOVIĆ",106,57,9,40,3,"5 METKOVIĆ, METKOVIĆ",Preostale BM koje kada bi se zbrojile su prevelike
298,METKOVIĆ,7,METKOVIĆ,GIMNAZIJA METKOVIĆ,"UL.KRALJA ZVONIMIRA 12, METKOVIĆ",1805,923,260,404,135,"3 METKOVIĆ, METKOVIĆ4 METKOVIĆ, METKOVIĆ",Preostale BM koje kada bi se zbrojile su prevelike
299,METKOVIĆ,2,METKOVIĆ,GRADSKO KULTURNO SREDIŠTE,"STJEPANA RADIĆA 1, METKOVIĆ",820,450,122,176,78,"2 METKOVIĆ, METKOVIĆ",Preostale BM koje kada bi se zbrojile su prevelike
300,METKOVIĆ,6,METKOVIĆ,SREDNJA ŠKOLA METKOVIĆ,"UL. KRALJA ZVONIMIRA 12, METKOVIĆ",1054,584,161,289,68,"6 METKOVIĆ, METKOVIĆ",Preostale BM koje kada bi se zbrojile su prevelike
301,METKOVIĆ,23,METKOVIĆ,ZGRADA PRAVOSUDNIH TIJELA,"UL.A.HEBRANGA 9, METKOVIĆ",2241,1064,313,510,99,"11 METKOVIĆ, METKOVIĆ12 METKOVIĆ, METKOVIĆ",Preostale BM koje kada bi se zbrojile su prevelike
302,VELIKA GORICA,9,MILJENKO GRANIĆ,OSNOVNA ŠKOLA EUGEN KUMIČIĆ,"VEL.GORICA, J. PUCEKOVIĆA 4, VELIKA GORICA",1439,660,103,175,156,"9 MILJENKO GRANIĆ, VELIKA GORICA",Preostale BM koje kada bi se zbrojile su prevelike
303,VELIKA GORICA,21,MILJENKO GRANIĆ,OSNOVNA ŠKOLA EUGEN KUMIČIĆ,"VELIKA GORICA, J. PUCEKOVIĆA 4, VELIKA GORICA",2359,1054,96,345,252,"10 MILJENKO GRANIĆ, VELIKA GORICA11 MILJENKO GRANIĆ, VELIKA GORICA",Preostale BM koje kada bi se zbrojile su prevelike
304,VELIKA GORICA,25,MILJENKO GRANIĆ,OSNOVNA ŠKOLA NIKOLA HRIBAR,"VELIKA GORICA, R. BOŠKOVIĆA 13, VELIKA GORICA",2729,1394,183,499,266,"12 MILJENKO GRANIĆ, VELIKA GORICA13 MILJENKO GRANIĆ, VELIKA GORICA",Preostale BM koje kada bi se zbrojile su prevelike
305,VELIKA GORICA,8,MILJENKO GRANIĆ,PROSTORIJE GRADSKE ČETVRTI,"VELIKA GORICA, VINKOVAČKA 2, VELIKA GORICA",1495,771,95,225,196,"8 MILJENKO GRANIĆ, VELIKA GORICA",Preostale BM koje kada bi se zbrojile su prevelike
306,KRK,8,MILOHNIĆI,MJESNI DOM MILOHNIĆI,"MILOHNIĆI, KRK",429,198,11,52,77,"8 MILOHNIĆI, KRK",Nema u 2016/2015
307,SLAVONSKI BROD,52,MJESNI ODBOR ANDRIJA HEBRANG,MJESNI DOM  VELIKA SALA,"SLAVONSKI BROD, OSJEČKA 24, SLAVONSKI BROD",393,173,15,77,43,"52 MJESNI ODBOR ANDRIJA HEBRANG, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
308,SLAVONSKI BROD,6,MJESNI ODBOR ANDRIJA HEBRANG,MJESNI ODBOR ANDRIJA HEBRANG DOM SLAVONSKI BROD,"SLAVONSKI BROD,  NASELJE ANDRIJA HEBRANG BLOK 6/1, SLAVONSKI BROD",995,447,26,207,95,"6 MJESNI ODBOR ANDRIJA HEBRANG, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
309,SLAVONSKI BROD,15,MJESNI ODBOR ANDRIJA HEBRANG,OSNOVNA ŠKOLA DRAGUTIN TADIJANOVIĆ SLAVONSKI BROD,"SLAVONSKI BROD,  NASELJE ANDRIJA HEBRANG  12/1, SLAVONSKI BROD",1792,842,39,306,269,"7 MJESNI ODBOR ANDRIJA HEBRANG, SLAVONSKI BROD8 MJESNI ODBOR ANDRIJA HEBRANG, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
310,SLAVONSKI BROD,16,MJESNI ODBOR ANTUN MIHANOVIĆ,MJESNI ODBORA ANTUN MIHANOVIĆ DOM SLAVONSKI BROD,"SLAVONSKI BROD, PAVLEKA MIŠKINA 6, SLAVONSKI BROD",830,414,20,194,95,"16 MJESNI ODBOR ANTUN MIHANOVIĆ, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
311,SLAVONSKI BROD,19,MJESNI ODBOR ANTUN MIHANOVIĆ,OBRTNIČKA ŠKOLA SLAVONSKI BROD  DVORANA,"VLADIMIRA NAZORA 9, SLAVONSKI BROD",673,341,21,175,80,"19 MJESNI ODBOR ANTUN MIHANOVIĆ, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
312,SLAVONSKI BROD,20,MJESNI ODBOR ANTUN MIHANOVIĆ,OSNOVNA ŠKOLA ANTUN MIHANOVIĆ SLAVONSKI BROD,"SLAVONSKI BROD, MIHANOVIĆEVA 35, SLAVONSKI BROD",620,297,16,116,85,"20 MJESNI ODBOR ANTUN MIHANOVIĆ, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
313,SLAVONSKI BROD,17,MJESNI ODBOR ANTUN MIHANOVIĆ,VODOVOD SLAVONSKI BROD NIKOLE ZRINSKOG 25,"SLAVONSKI BROD, NIKOLE ZRINSKOG 25, SLAVONSKI BROD",437,190,14,60,67,"17 MJESNI ODBOR ANTUN MIHANOVIĆ, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
314,SLAVONSKI BROD,26,MJESNI ODBOR BRODSKO VINOGORJE,OSNOVNA ŠKOLA ĐURO PILAR SLAVONSKI BROD,"SLAVONSKI BROD, ULICA ZLATKA BALOKOVIĆA  1, SLAVONSKI BROD",1047,370,26,167,69,"26 MJESNI ODBOR BRODSKO VINOGORJE, SLAVONSKI BROD",Nema u 2016/2015
315,SLAVONSKI BROD,27,MJESNI ODBOR BRODSKO VINOGORJE,OSNOVNA ŠKOLA ĐURO PILAR SLAVONSKI BROD,"SLAVONSKI BROD, ULICA ZLATKA BALOKOVIĆA 1, SLAVONSKI BROD",809,303,34,121,61,"27 MJESNI ODBOR BRODSKO VINOGORJE, SLAVONSKI BROD",Nema u 2016/2015
316,SLAVONSKI BROD,28,MJESNI ODBOR BRODSKO VINOGORJE,OSNOVNA ŠKOLA ĐURO PILAR SLAVONSKI BROD,"SLAVONSKI BROD, ULICA ZLATKA BALOKOVIĆA 1, SLAVONSKI BROD",622,237,20,87,41,"28 MJESNI ODBOR BRODSKO VINOGORJE, SLAVONSKI BROD",Nema u 2016/2015
317,SLAVONSKI BROD,29,MJESNI ODBOR BRODSKO VINOGORJE,OSNOVNA ŠKOLA ĐURO PILAR SLAVONSKI BROD,"SLAVONSKI BROD, ULICA ZLATKA BALOKOVIĆA 1, SLAVONSKI BROD",356,138,7,65,34,"29 MJESNI ODBOR BRODSKO VINOGORJE, SLAVONSKI BROD",Nema u 2016/2015
318,SLAVONSKI BROD,41,MJESNI ODBOR BUDAINKA,MJESNI ODBOR BUDAINKA DOM SLAVONSKI BROD,"SLAVONSKI BROD, ZAGREBAČKA 51, SLAVONSKI BROD",1125,442,27,210,91,"41 MJESNI ODBOR BUDAINKA, SLAVONSKI BROD",Nema u 2016/2015
319,SLAVONSKI BROD,42,MJESNI ODBOR BUDAINKA,OSNOVNA ŠKOLA IVANA BRLIĆ MAŽURANIĆ SLAVONSKI BROD,"SLAVONSKI BROD, ZAGREBAČKA 78, SLAVONSKI BROD",1101,436,37,193,98,"42 MJESNI ODBOR BUDAINKA, SLAVONSKI BROD",Nema u 2016/2015
320,SLAVONSKI BROD,43,MJESNI ODBOR BUDAINKA,OSNOVNA ŠKOLA IVANA BRLIĆ MAŽURANIĆ SLAVONSKI BROD,"SLAVONSKI BROD, ZAGREBAČKA 78, SLAVONSKI BROD",550,216,14,110,37,"43 MJESNI ODBOR BUDAINKA, SLAVONSKI BROD",Nema u 2016/2015
321,SLAVONSKI BROD,44,MJESNI ODBOR BUDAINKA,OSNOVNA ŠKOLA IVANA BRLIĆ MAŽURANIĆ SLAVONSKI BROD,"SLAVONSKI BROD, ZAGREBAČKA 78, SLAVONSKI BROD",283,109,12,56,24,"44 MJESNI ODBOR BUDAINKA, SLAVONSKI BROD",Nema u 2016/2015
322,SLAVONSKI BROD,56,MJESNI ODBOR DR ANTE STARČEVIĆ,DJEČJI VRTIĆ KOSJENKA SLAVONSKI BROD,"SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 3, SLAVONSKI BROD",766,306,25,143,62,"56 MJESNI ODBOR DR ANTE STARČEVIĆ, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
323,SLAVONSKI BROD,115,MJESNI ODBOR DR ANTE STARČEVIĆ,HRVATSKE ŠUME SLAVONSKI BROD,"SLAVONSKI BROD, OSJEČKA 282, SLAVONSKI BROD",1752,553,33,274,99,"57 MJESNI ODBOR DR ANTE STARČEVIĆ, SLAVONSKI BROD58 MJESNI ODBOR DR ANTE STARČEVIĆ, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
324,SLAVONSKI BROD,59,MJESNI ODBOR DR ANTE STARČEVIĆ,MJESNI DOM SLAVONSKI BROD,"SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 4, SLAVONSKI BROD",665,263,12,123,56,"59 MJESNI ODBOR DR ANTE STARČEVIĆ, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
325,SLAVONSKI BROD,55,MJESNI ODBOR DR ANTE STARČEVIĆ,OSNOVNA ŠKOLA BOGOSLAV ŠULEK,"SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 2, SLAVONSKI BROD",1070,467,22,231,95,"55 MJESNI ODBOR DR ANTE STARČEVIĆ, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
326,SLAVONSKI BROD,54,MJESNI ODBOR DR ANTE STARČEVIĆ,OSNOVNA ŠKOLA BOGOSLAV ŠULEK SLAVONSKI BROD,"SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE  2, SLAVONSKI BROD",1312,467,33,229,102,"54 MJESNI ODBOR DR ANTE STARČEVIĆ, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
327,SLAVONSKI BROD,113,MJESNI ODBOR DR ANTE STARČEVIĆ,OSNOVNA ŠKOLA BOGOSLAV ŠULEK SLAVONSKI BROD,"SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 2, SLAVONSKI BROD",1980,746,56,305,187,"53 MJESNI ODBOR DR ANTE STARČEVIĆ, SLAVONSKI BROD60 MJESNI ODBOR DR ANTE STARČEVIĆ, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
328,SLAVONSKI BROD,123,MJESNI ODBOR JOSIP JURAJ STROSSMAYER,DJEČJI VRTIĆ RADOST SLAVONSKI BROD,"SLAVONSKI BROD, ULICA TOME BAKAČA 120 A, SLAVONSKI BROD",1309,557,34,208,147,"61 MJESNI ODBOR JOSIP JURAJ STROSSMAYER, SLAVONSKI BROD62 MJESNI ODBOR JOSIP JURAJ STROSSMAYER, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
329,SLAVONSKI BROD,64,MJESNI ODBOR JOSIP JURAJ STROSSMAYER,MJESNI ODBOR JOSIP JURAJ STROSSMAYER DOMMALA SALA SLAVONSKI BROD,"SLAVONSKI BROD, ULICA FRANA SUPILA 2, SLAVONSKI BROD",878,391,22,145,122,"64 MJESNI ODBOR JOSIP JURAJ STROSSMAYER, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
330,SLAVONSKI BROD,63,MJESNI ODBOR JOSIP JURAJ STROSSMAYER,MJESNI ODBOR JOSIP JURAJ STROSSMAYER DOMVELIKA SALA SLAVONSKI BROD,"SLAVONSKI BROD, ULICA FRANA SUPILA 2, SLAVONSKI BROD",1106,450,26,161,146,"63 MJESNI ODBOR JOSIP JURAJ STROSSMAYER, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
331,SLAVONSKI BROD,65,MJESNI ODBOR JOSIP JURAJ STROSSMAYER,OSNOVNA ŠKOLA VLADIMIR NAZOR SLAVONSKI BROD,"SLAVONSKI BROD, FRANJE MARINIĆA 9, SLAVONSKI BROD",796,310,24,120,80,"65 MJESNI ODBOR JOSIP JURAJ STROSSMAYER, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
332,SLAVONSKI BROD,66,MJESNI ODBOR JOSIP JURAJ STROSSMAYER,SLAVONIJA DI SLAVONSKI BROD,"SLAVONSKI BROD, SVETOG LOVRE 75, SLAVONSKI BROD",964,284,20,120,77,"66 MJESNI ODBOR JOSIP JURAJ STROSSMAYER, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
333,SLAVONSKI BROD,35,MJESNI ODBOR JOSIP RIMAC,MJESNI ODBOR JOSIP RIMAC DOM  KAT SLAVONSKI BROD,"SLAVONSKI BROD, AUGUSTINA JARIĆA 6, SLAVONSKI BROD",386,129,9,84,17,"35 MJESNI ODBOR JOSIP RIMAC, SLAVONSKI BROD",Nema u 2016/2015
334,SLAVONSKI BROD,21,MJESNI ODBOR KOLONIJA,PODRUČNA ŠKOLA ĐURO PILAR SLAVONSKI BROD,"SLAVONSKI BROD, VINOGRADSKA CESTA 84, SLAVONSKI BROD",552,198,10,104,49,"21 MJESNI ODBOR KOLONIJA, SLAVONSKI BROD",Nema u 2016/2015
335,SLAVONSKI BROD,22,MJESNI ODBOR KOLONIJA,PODRUČNA ŠKOLA ĐURO PILAR SLAVONSKI BROD,"SLAVONSKI BROD, VINOGRADSKA CESTA 84, SLAVONSKI BROD",684,245,15,128,37,"22 MJESNI ODBOR KOLONIJA, SLAVONSKI BROD",Nema u 2016/2015
336,SLAVONSKI BROD,23,MJESNI ODBOR KOLONIJA,PODRUČNA ŠKOLA ĐURO PILAR SLAVONSKI BROD,"SLAVONSKI BROD, ULICA VINOGRADSKA CESTA 84, SLAVONSKI BROD",537,211,12,97,42,"23 MJESNI ODBOR KOLONIJA, SLAVONSKI BROD",Nema u 2016/2015
337,SLAVONSKI BROD,24,MJESNI ODBOR KOLONIJA,PODRUČNA ŠKOLA ĐURO PILAR SLAVONSKI BROD,"SLAVONSKI BROD, ULICA VINOGRADSKA CESTA 84, SLAVONSKI BROD",1021,442,38,194,93,"24 MJESNI ODBOR KOLONIJA, SLAVONSKI BROD",Nema u 2016/2015
338,SLAVONSKI BROD,25,MJESNI ODBOR KOLONIJA,PODRUČNA ŠKOLA ĐURO PILAR SLAVONSKI BROD,"SLAVONSKI BROD, ULICA VINOGRADSKA CESTA 84, SLAVONSKI BROD",940,336,28,146,67,"25 MJESNI ODBOR KOLONIJA, SLAVONSKI BROD",Nema u 2016/2015
339,SLAVONSKI BROD,1,MJESNI ODBOR LUTVINKA,RADNIČKI DOM SLAVONSKI BROD,"SLAVONSKI BROD RADNIČKI TRG 5, SLAVONSKI BROD",553,271,11,119,67,"1 MJESNI ODBOR LUTVINKA, SLAVONSKI BROD",Nema u 2016/2015
340,SLAVONSKI BROD,2,MJESNI ODBOR LUTVINKA,OBRTNIČKA ŠKOLA SLAVONSKI BROD,"SLAVONSKI BROD, VLADIMIRA NAZORA 9, SLAVONSKI BROD",635,295,13,121,85,"2 MJESNI ODBOR LUTVINKA, SLAVONSKI BROD",Nema u 2016/2015
341,SLAVONSKI BROD,3,MJESNI ODBOR LUTVINKA,OSNOVNA ŠKOLA MILAN AMRUŠ SLAVONSKI BROD,"SLAVONSKI BROD,  NIKOLE ZRINSKOG 100, SLAVONSKI BROD",529,258,8,105,84,"3 MJESNI ODBOR LUTVINKA, SLAVONSKI BROD",Nema u 2016/2015
342,SLAVONSKI BROD,4,MJESNI ODBOR LUTVINKA,MJESNI ODBOR LUTVINKA SLAVONSKI BROD,"SLAVONSKI BROD,  NIKOLE ZRINSKOG 86, SLAVONSKI BROD",552,241,12,87,83,"4 MJESNI ODBOR LUTVINKA, SLAVONSKI BROD",Nema u 2016/2015
343,SLAVONSKI BROD,5,MJESNI ODBOR LUTVINKA,HRVATSKE CESTE SLAVONSKI BROD,"SLAVONSKI BROD, IVANA GORANA KOVAČIĆA 58, SLAVONSKI BROD",353,147,10,55,38,"5 MJESNI ODBOR LUTVINKA, SLAVONSKI BROD",Nema u 2016/2015
344,SLAVONSKI BROD,51,MJESNI ODBOR MALI PARIZ,INDUSTRIJSKOOBRTNIČKA ŠKOLA SLAVONSKI BROD,"SLAVONSKI BROD, EUGENA KUMIČIĆEVA 55, SLAVONSKI BROD",1175,520,41,232,118,"51 MJESNI ODBOR MALI PARIZ, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
345,SLAVONSKI BROD,50,MJESNI ODBOR MALI PARIZ,MJESNI ODBOR MALI PARIZ DOM SLAVONSKI BROD,"SLAVONSKI BROD, EUGENA KVATERNIKA 7, SLAVONSKI BROD",1190,569,36,266,111,"50 MJESNI ODBOR MALI PARIZ, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
346,SLAVONSKI BROD,13,MJESNI ODBOR PLAVO POLJE,GIMNAZIJA MATIJA MESIĆ SLAVONSKI BROD,"SLAVONSKI BROD,  NASELJE SLAVONIJA I 8, SLAVONSKI BROD",897,411,22,156,152,"13 MJESNI ODBOR PLAVO POLJE, SLAVONSKI BROD",Nema u 2016
347,SLAVONSKI BROD,14,MJESNI ODBOR PLAVO POLJE,OPĆINSKI SUD SLAVONSKI BROD,"SLAVONSKI BROD,  TRG POBJEDE 15, SLAVONSKI BROD",788,334,26,122,122,"14 MJESNI ODBOR PLAVO POLJE, SLAVONSKI BROD",Nema u 2016
348,SLAVONSKI BROD,30,MJESNI ODBOR PODVINJE,MJESNI ODBOR PODVINJE DOM,"PODVINJE, TRG SVETOG ANTUNA 4, SLAVONSKI BROD",1118,432,35,196,74,"30 MJESNI ODBOR PODVINJE, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
349,SLAVONSKI BROD,31,MJESNI ODBOR PODVINJE,MJESNI ODBOR PODVINJE DOM,"PODVINJE, TRG SVETOG ANTUNA KBR. 4, SLAVONSKI BROD",467,161,16,72,27,"31 MJESNI ODBOR PODVINJE, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
350,SLAVONSKI BROD,32,MJESNI ODBOR PODVINJE,OSNOVNA ŠKOLA BLAŽ TADIJANOVIĆ PODVINJE,"PODVINJE, PODVINJSKA ULICA  25, SLAVONSKI BROD",752,291,15,109,38,"32 MJESNI ODBOR PODVINJE, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
351,SLAVONSKI BROD,33,MJESNI ODBOR PODVINJE,OSNOVNA ŠKOLA BLAŽ TADIJANOVIĆ PODVINJE,"PODVINJE, PODVINJSKA ULICA 25, SLAVONSKI BROD",919,368,20,198,78,"33 MJESNI ODBOR PODVINJE, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
352,SLAVONSKI BROD,97,MJESNI ODBOR ZRINSKI FRANKOPAN,MJESNI ODBOR ZRINSKI FRANKOPAN DOM SLAVONSKI BROD,"SLAVONSKI BROD, ANASTASA POPOVIĆA 37, SLAVONSKI BROD",2077,791,54,317,197,"48 MJESNI ODBOR ZRINSKI FRANKOPAN, SLAVONSKI BROD49 MJESNI ODBOR ZRINSKI FRANKOPAN, SLAVONSKI BROD",Preostale BM koje kada bi se zbrojile su prevelike
353,SLAVONSKI BROD,34,MJESNI ODOBOR JOSIP RIMAC,MJESNI ODBOR JOSIP RIMAC DOMPRIZEMLJE  SLAVONSKI BROD,"SLAVONSKI BROD, AUGUSTINA JARIĆA 6, SLAVONSKI BROD",588,250,14,149,45,"34 MJESNI ODOBOR JOSIP RIMAC, SLAVONSKI BROD",Nema u 2016/2015
354,SLAVONSKI BROD,36,MJESNI ODOBOR JOSIP RIMAC,MJESNI ODBOR JOSIP RIMAC DOM  KAT SLAVONSKI BROD,"SLAVONSKI BROD, AUGUSTINA JARIĆA 6, SLAVONSKI BROD",728,188,7,88,39,"36 MJESNI ODOBOR JOSIP RIMAC, SLAVONSKI BROD",Nema u 2016/2015
