,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,HDZ,SDP,BM,Uzrok
118,"ZAGREB-CENTAR, ZAPAD",175,BUKOVAC,DOM ZDRAVLJA ZAGREB  ISTOK,"KOSA 1B, ZAGREB-CENTAR, ZAPAD",2263,1119,125,383,194,"87 BUKOVAC, ZAGREBCENTAR ZAPAD88 BUKOVAC, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
119,"ZAGREB-CENTAR, ZAPAD",90,BUKOVAC,PROSTORIJE MJESNOG ODBORA,"MOGILSKA ULICA 50, ZAGREB-CENTAR, ZAPAD",952,479,50,144,87,"90 BUKOVAC, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
120,"ZAGREB-CENTAR, ZAPAD",89,BUKOVAC,PROSTORIJE MJESNOG ODBORA,"VIII. POŽARINJE 2A, ZAGREB-CENTAR, ZAPAD",950,502,57,153,68,"89 BUKOVAC, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
121,SELNICA,6,BUKOVEC,OBITELJSKA KUĆA ZORANA SRŠANA,"BUKOVEC 71A, SELNICA",168,61,3,6,35,"6 BUKOVEC, SELNICA",Nema u 2016/2015
122,RIJEKA,83,CENTAR  SUŠAK,PROSTORIJE MJESNOG ODBORA,"ŠETALIŠTE ANDRIJE KAČIĆA MIOŠIĆA 8A, RIJEKA",616,274,16,58,111,"83 CENTAR  SUŠAK, RIJEKA",Nema u 2016/2015
123,RIJEKA,84,CENTAR  SUŠAK,OŠ CENTAR,"PODHUMSKIH ŽRTAVA 5, RIJEKA",842,341,37,73,126,"84 CENTAR  SUŠAK, RIJEKA",Nema u 2016/2015
124,"ZAGREB-CENTAR, ZAPAD",393,CIGLENICA,SREDNJA ŠKOLA  CENTAR ZA ODGOJ I OBRAZOVANJE,"ZAGORSKA ULICA 14, ZAGREB-CENTAR, ZAPAD",4000,1970,144,550,370,"130 CIGLENICA, ZAGREBCENTAR ZAPAD131 CIGLENICA, ZAGREBCENTAR ZAPAD132 CIGLENICA, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
125,ZADAR,33,CRVENE KUĆE,OSNOVNA ŠKOLA SMILJEVAC,"ULICA IVANA LUCIĆA 47, ZADAR",2071,837,87,435,127,"16 CRVENE KUĆE, ZADAR17 CRVENE KUĆE, ZADAR",Preostale BM koje kada bi se zbrojile su prevelike
126,"ZAGREB-CENTAR, ZAPAD",11,CVJETNI TRG,OŠ IVANA GUNDULIĆA,"GUNDULIĆEVA ULICA 23A, ZAGREB-CENTAR, ZAPAD",1956,1026,68,264,226,"5 CVJETNI TRG, ZAGREBCENTAR ZAPAD6 CVJETNI TRG, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
127,NOVIGRAD - CITTANOVA,3,DAJLADAILA,ZGRADA NOGOMETNOG KLUBA DAJLA,"DAJLA BB, DAJLA, NOVIGRAD - CITTANOVA",581,228,9,50,102,"3 DAJLADAILA, NOVIGRAD  CITTANOVA",Nema u 2016/2015
