,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,MOŽEMO,DP,HDZ,SDP,BM
617,OGULIN,14,BIRACKO MJESTO BR 14,PODRUCNA SKOLA OTOK OSTARIJSKI,OTOK OSTARIJSKI 73 OGULIN,188,126,4,,,22,82,14 BIRACKO MJESTO BR 14 OGULIN
618,KLINCA SELA,14,BIRACKO MJESTO BR 14 KUPINEC IV,KUCA STJEPANA HORVATICA,KUPINEC 234 KLINCA SELA,67,42,2,,,17,12,14 BIRACKO MJESTO BR 14 KUPINEC IV KLINCA SELA
619,DUGA RESA,15,BIRACKO MJESTO BR 15,KUCA MEJASKI ANE MERGED HETERO,MREZNICKI BRIG 91 DUGA RESA,287,150,19,,,60,37,BIRACKO MJESTO BR 15DUGA RESA MERGED HETERO
620,KARLOVAC,15,BIRACKO MJESTO BR 15,PROSTORIJE MJESNOG ODBORA ORLOVAC,RECICKA 55 KARLOVAC,761,342,22,,,198,62,15 BIRACKO MJESTO BR 15 KARLOVAC
621,NETRETIC,15,BIRACKO MJESTO BR 15,DRUSTVENI DOM SKUPICA,SKUPICA NETRETIC,173,80,2,,,40,19,15 BIRACKO MJESTO BR 15 NETRETIC
622,OGULIN,15,BIRACKO MJESTO BR 15,PODRUCNA SKOLA POTOK MUSULINSKI,POTOK MUSULINSKI BB OGULIN,29,21,0,,,7,9,15 BIRACKO MJESTO BR 15 OGULIN
623,KLINCA SELA,15,BIRACKO MJESTO BR 15 REPISCE,DRUSTVENI DOM,REPISCE KLINCA SELA,311,191,14,,,75,79,15 BIRACKO MJESTO BR 15 REPISCE KLINCA SELA
624,DUGA RESA,16,BIRACKO MJESTO BR 16,POSLOVNI PROSTOR MREZNICE DD MERGED HETERO,MIHALIC SELO 1 DUGA RESA,126,67,8,,,27,14,BIRACKO MJESTO BR 16DUGA RESA MERGED HETERO
625,KARLOVAC,16,BIRACKO MJESTO BR 16,DRUSTVENI DOM HUSJE,HUSJE 29 B KARLOVAC,154,104,7,,,73,5,16 BIRACKO MJESTO BR 16 KARLOVAC
626,NETRETIC,16,BIRACKO MJESTO BR 16,ZGRADA PODRUCNE SKOLE ZAGRADCI,ZAGRADCI NETRETIC,195,102,10,,,44,23,16 BIRACKO MJESTO BR 16 NETRETIC
627,OGULIN,16,BIRACKO MJESTO BR 16,PODRUCNA SKOLA JASENAK,JASENAK 25 OGULIN,61,40,1,,,10,22,16 BIRACKO MJESTO BR 16 OGULIN
628,KLINCA SELA,16,BIRACKO MJESTO BR 16 KOZLIKOVO,KUCA RUDAR ZELJKA,KOZLIKOVO 20 KLINCA SELA,112,56,6,,,17,25,16 BIRACKO MJESTO BR 16 KOZLIKOVO KLINCA SELA
629,DUGA RESA,17,BIRACKO MJESTO BR 17,KUCA MARIJANA MATAKOVICA MERGED HETERO,MREZNICKI NOVAKI 31 DUGA RESA,153,87,3,,,58,14,BIRACKO MJESTO BR 17DUGA RESA MERGED HETERO
630,KARLOVAC,17,BIRACKO MJESTO BR 17,VATROGASNI DOM DVD POKUPSKI KOBILIC,KOBILIC POKUPSKI 29 A KARLOVAC,39,26,1,,,14,5,17 BIRACKO MJESTO BR 17 KARLOVAC
631,OGULIN,17,BIRACKO MJESTO BR 17,PROSTORIJE MJESNOG ODBORA DREZNICA IZNAD POSTE,DREZNICA 8 OGULIN,85,71,0,,,8,56,17 BIRACKO MJESTO BR 17 OGULIN
632,DUGA RESA,18,BIRACKO MJESTO BR 18,PROSTORIJE PODRUCNE SKOLE BELAVICI,BELAVICI DUGA RESA,474,265,14,,,113,77,18 BIRACKO MJESTO BR 18 DUGA RESA
633,KARLOVAC,18,BIRACKO MJESTO BR 18,VATROGASNI DOM DVD DONJE MEKUSJE MERGED HETERO,DONJE MEKUSJE 33 A KARLOVAC,184,136,7,,,75,23,BIRACKO MJESTO BR 18KARLOVAC MERGED HETERO
634,OGULIN,18,BIRACKO MJESTO BR 18,DOM SV JAKOVA,SV JAKOV BB OGULIN,808,451,67,,,213,125,18 BIRACKO MJESTO BR 18 OGULIN
635,DUGA RESA,19,BIRACKO MJESTO BR 19,DRUSTVENI DOM DVORJANCI,DVORJANCI BB DUGA RESA,180,88,8,,,43,14,19 BIRACKO MJESTO BR 19 DUGA RESA
636,KARLOVAC,19,BIRACKO MJESTO BR 19,PROSTORIJE DRUSTVENOG DOMA VODOSTAJ MERGED HETERO,VODOSTAJ 42 C KARLOVAC,232,131,0,,,78,32,BIRACKO MJESTO BR 19KARLOVAC MERGED HETERO
637,OGULIN,19,BIRACKO MJESTO BR 19,DOM DOBROTVORNOG PODUPIRAJUCEG DRUSTVA SV ROK U LOMOSTU,LOMOSCANSKA CESTA BB OGULIN,922,556,67,,,260,147,19 BIRACKO MJESTO BR 19 OGULIN
638,BARILOVIC,2,BIRACKO MJESTO BR 2,PODRUCNA SKOLA BELAJ,BELAJ BARILOVIC,458,209,13,,,135,40,2 BIRACKO MJESTO BR 2 BARILOVIC
639,BOSILJEVO,2,BIRACKO MJESTO BR 2,GRABRK VATROGASNI DOM,GRABRK 1 BOSILJEVO,311,171,2,,,113,41,2 BIRACKO MJESTO BR 2 BOSILJEVO
640,CETINGRAD,2,BIRACKO MJESTO BR 2,CETINGRAD HRVATSKI DOM,TRG HRVATSKIH BRANITELJA BR 3 CETINGRAD,657,301,11,,,248,19,2 BIRACKO MJESTO BR 2 CETINGRAD
641,DELNICE,2,BIRACKO MJESTO BR 2,ZGRADA MGP LUCICE,LUCICE LUCICKA CESTA 1 DELNICE,278,88,1,,,23,31,2 BIRACKO MJESTO BR 2 DELNICE
642,DRAGANIC,2,BIRACKO MJESTO BR 2,VATROGASNI DOM DRAGANICI,DRAGANICI 35 DRAGANIC,549,254,22,,,110,74,2 BIRACKO MJESTO BR 2 DRAGANIC
643,DUGA RESA,2,BIRACKO MJESTO BR 2,DJECJE JASLICE I VRTIC NOVI MERGED HETERO,TRG HRVATSKIH MUCENIKA BB DUGA RESA,705,406,38,,,151,150,BIRACKO MJESTO BR 2DUGA RESA MERGED HETERO
644,FUZINE,2,BIRACKO MJESTO BR 2,VATROGASNI DOM U VRATIMA,VRATA VRATA 48 FUZINE,315,149,7,,,24,91,2 BIRACKO MJESTO BR 2 FUZINE
645,GENERALSKI STOL,2,BIRACKO MJESTO BR 2,KUCA JOSE KASUNIC DUGA GORA 6 MERGED HETERO,DUGA GORA GENERALSKI STOL,76,27,1,,,15,8,BIRACKO MJESTO BR 2GENERALSKI STOL MERGED HETERO
646,JOSIPDOL,2,BIRACKO MJESTO BR 2,ZGRADA DOMA SV ANTUN U CAREVOM POLJU,CAREVO POLJE BB JOSIPDOL,140,64,7,,,35,8,2 BIRACKO MJESTO BR 2 JOSIPDOL
647,KARLOVAC,2,BIRACKO MJESTO BR 2,GRADSKA KNJIZNICA IGKOVACIC,LJ SESTICA 1 KARLOVAC,1307,898,59,,,267,426,2 BIRACKO MJESTO BR 2 KARLOVAC
648,KRNJAK,2,BIRACKO MJESTO BR 2,PODRUCNA SKOLA DONJI BUDACKI MERGED HETERO,DONJI BUDACKI KRNJAK,205,104,2,,,58,34,BIRACKO MJESTO BR 2KRNJAK MERGED HETERO
649,LASINJA,2,BIRACKO MJESTO BR 2,ZGRADA OPCINE SOBA BR 1 NA PRVOM KATU,LASINJSKA CESTA 19 LASINJA,199,94,3,,,54,25,2 BIRACKO MJESTO BR 2 LASINJA
650,MAKARSKA,2,BIRACKO MJESTO BR 2,DJECJI VRTIC,DR M UJEVICA 5 MAKARSKA,2037,1015,92,,,439,375,2 BIRACKO MJESTO BR 2 MAKARSKA
651,NETRETIC,2,BIRACKO MJESTO BR 2,KUCA VULJANIC DANIJEL MERGED HETERO,ZAVRSJE NETRETICKO 33 NETRETIC,68,32,0,,,21,4,BIRACKO MJESTO BR 2NETRETIC MERGED HETERO
652,NOVI VINODOLSKI,2,BIRACKO MJESTO BR 2,PROSTORIJE BIVSE OSNOVNE SKOLE KRMPOTE MERGED HETERO,KRMPOTE NOVI VINODOLSKI,122,52,3,,,28,15,BIRACKO MJESTO BR 2NOVI VINODOLSKI MERGED HETERO
653,OGULIN,2,BIRACKO MJESTO BR 2,PROSTORIJE MJESNOG ODBORA GORNJE DUBRAVE,GORNJE DUBRAVE BB OGULIN,32,22,0,,,8,9,2 BIRACKO MJESTO BR 2 OGULIN
654,PLASKI,2,BIRACKO MJESTO BR 2,DOM KULTURE PLASKI MERGED HETERO,IVANE BRLIC MAZURANIC BB PLASKI,334,176,7,,,75,76,BIRACKO MJESTO BR 2PLASKI MERGED HETERO
655,RAKOVICA,2,BIRACKO MJESTO BR 2,VATROGASNI DOM DVDA DREZNIK GRAD,DREZNIK GRAD RAKOVICA,576,244,17,,,162,22,2 BIRACKO MJESTO BR 2 RAKOVICA
656,RAVNA GORA,2,BIRACKO MJESTO BR 2,SPC GORANKA RAVNA GORA,RAVNA GORA IG KOVACICA 174 RAVNA GORA,740,400,19,,,153,145,2 BIRACKO MJESTO BR 2 RAVNA GORA
657,SLUNJ,2,BIRACKO MJESTO BR 2,OSNOVNA SKOLA SLUNJ,SPORTSKA DVORANA ULICA SKOLSKA 17 SLUNJ,469,275,33,,,128,75,2 BIRACKO MJESTO BR 2 SLUNJ
658,TOUNJ,2,BIRACKO MJESTO BR 2,OSNOVNA SKOLA KAMENICA SKRADNICKA,KAMENICA 55 TOUNJ,193,98,11,,,64,6,2 BIRACKO MJESTO BR 2 TOUNJ
659,VOJNIC,2,BIRACKO MJESTO BR 2,KNEZEVIC KOSA KUCA MILE MIHANOVICA MERGED HETERO,KNEZEVIC KOSA 34 VOJNIC,156,91,1,,,49,29,BIRACKO MJESTO BR 2VOJNIC MERGED HETERO
660,VRBOVSKO,2,BIRACKO MJESTO BR 2,PODRUCNA SKOLA SENJSKO,VRBOVSKO SENJSKO 108 VRBOVSKO,389,216,8,,,122,52,2 BIRACKO MJESTO BR 2 VRBOVSKO
661,KLINCA SELA,2,BIRACKO MJESTO BR 2 BETER II,KUCA JOSIPA KUFRINA,GORNJA PURGARIJA 9 KLINCA SELA,67,42,4,,,16,18,2 BIRACKO MJESTO BR 2 BETER II KLINCA SELA
662,LECEVICA,2,BIRACKO MJESTO BR 2 KLADNJICE,MJESNI DOM,KLADNJICE ULICA HRVATSKIH DRAGOVOLJACA 62 LECEVICA,160,97,5,,,87,1,2 BIRACKO MJESTO BR 2 KLADNJICE LECEVICA
663,PODBABLJE,2,BIRACKO MJESTO BR 2 KRIVODOL,MJESNI ODBOR KRIVODOL OS TIN UJEVIC,KRIVODOL PODBABLJE,332,222,26,,,167,15,2 BIRACKO MJESTO BR 2 KRIVODOL PODBABLJE
664,SEGET,2,BIRACKO MJESTO BR 2 U PRAPATNICI,PODRUCNA SKOLA KRALJ ZVONIMIR,PRAPATNICA SEGET,153,106,8,,,78,11,2 BIRACKO MJESTO BR 2 U PRAPATNICI SEGET
665,CABAR,2,BIRACKO MJESTO BR 2 U PREZIDU,ZGRADA OSNOVNE SKOLE U PREZIDU,GORANSKA 103 PREZID CABAR,728,314,20,,,63,152,2 BIRACKO MJESTO BR 2 U PREZIDU CABAR
666,DUGA RESA,20,BIRACKO MJESTO BR 20,PROSTORIJE MO ZVECAJ,ZVECAJ 26 DUGA RESA,246,141,9,,,77,19,20 BIRACKO MJESTO BR 20 DUGA RESA
667,KARLOVAC,20,BIRACKO MJESTO BR 20,DRUSTVENI DOM CURJACI,VODOSTAJ 140 B KARLOVAC,53,36,1,,,12,9,20 BIRACKO MJESTO BR 20 KARLOVAC
668,OGULIN,20,BIRACKO MJESTO BR 20,PROSTORIJE MJESNOG ODBORA PROCE KOSARKASKO IGRALISTE MERGED HETERO,SABORCANSKA 9 OGULIN,349,175,20,,,80,54,BIRACKO MJESTO BR 20OGULIN MERGED HETERO
669,DUGA RESA,21,BIRACKO MJESTO BR 21,SKOLA DONJI ZVECAJ,DONJI ZVECAJ 8 DUGA RESA,150,95,5,,,39,37,21 BIRACKO MJESTO BR 21 DUGA RESA
670,KARLOVAC,21,BIRACKO MJESTO BR 21,PROSTORIJE DOMA DVD RECICAMATICA MERGED HETERO,POKUPSKA LUKA 9 KARLOVAC,313,142,6,,,86,28,BIRACKO MJESTO BR 21KARLOVAC MERGED HETERO
671,OGULIN,21,BIRACKO MJESTO BR 21,NOVA SPORTSKA DVORANA PRI OSNOVNOJ SKOLI IBMAZURANIC U OGULINU,JB JELACICA 1 A OGULIN,570,355,40,,,125,135,21 BIRACKO MJESTO BR 21 OGULIN
672,DUGA RESA,22,BIRACKO MJESTO BR 22,KUCA MALOVIC IVICE MERGED HETERO,MREZNICKI VENAC 17 DUGA RESA,114,73,2,,,42,14,BIRACKO MJESTO BR 22DUGA RESA MERGED HETERO
673,KARLOVAC,22,BIRACKO MJESTO BR 22,DRUSTVENI DOM KARASI,KARASI 13 A KARLOVAC,52,32,0,,,14,13,22 BIRACKO MJESTO BR 22 KARLOVAC
674,OGULIN,22,BIRACKO MJESTO BR 22,SPORTSKO POSLOVNI CENTAR STADION U OGULINU PRIZEMLJE MERGED HETERO,OGULIN OGULIN,700,433,40,,,153,186,BIRACKO MJESTO BR 22OGULIN MERGED HETERO
675,DUGA RESA,23,BIRACKO MJESTO BR 23,KUCA MALOVIC BRANKE MERGED HETERO,GRSCAKI 4 DUGA RESA,68,26,0,,,13,9,BIRACKO MJESTO BR 23DUGA RESA MERGED HETERO
676,KARLOVAC,23,BIRACKO MJESTO BR 23,PROSTORIJE ZUK ZAMRSJE,ZAMRSJE 30 B KARLOVAC,159,91,6,,,49,24,23 BIRACKO MJESTO BR 23 KARLOVAC
677,DUGA RESA,24,BIRACKO MJESTO BR 24,KUCA DRAGUTINA SLATA MERGED HETERO,SVETI PETAR 17 DUGA RESA,339,187,12,,,82,43,BIRACKO MJESTO BR 24DUGA RESA MERGED HETERO
678,KARLOVAC,24,BIRACKO MJESTO BR 24,PROSTORIJE ZDRAVSTVENE AMBRECICA,RECICA 50 KARLOVAC,290,180,16,,,109,29,24 BIRACKO MJESTO BR 24 KARLOVAC
679,DUGA RESA,25,BIRACKO MJESTO BR 25,PROSTORIJE MO LISNICA,LISNICA BB DUGA RESA,146,86,4,,,52,10,25 BIRACKO MJESTO BR 25 DUGA RESA
680,KARLOVAC,25,BIRACKO MJESTO BR 25,VATROGASNI DOM DVD DONJA RECICA,RECICA 166 KARLOVAC,168,110,6,,,64,13,25 BIRACKO MJESTO BR 25 KARLOVAC
681,KARLOVAC,26,BIRACKO MJESTO BR 26,VATROGASNI DOM DVD KORITINJA,KORITINJA 23 A KARLOVAC,137,72,11,,,42,8,26 BIRACKO MJESTO BR 26 KARLOVAC
682,KARLOVAC,27,BIRACKO MJESTO BR 27,PROSTORIJE MO SISLJAVIC,SISLJAVIC 67 KARLOVAC,448,261,6,,,189,35,27 BIRACKO MJESTO BR 27 KARLOVAC
683,KARLOVAC,28,BIRACKO MJESTO BR 28,DRUSTVENI DOM RIBARI,RIBARI 29 A KARLOVAC,135,79,0,,,69,3,28 BIRACKO MJESTO BR 28 KARLOVAC
684,KARLOVAC,29,BIRACKO MJESTO BR 29,VATROGASNI DOM DVD BRODANI,BRODANI 38 A KARLOVAC,39,14,0,,,7,5,29 BIRACKO MJESTO BR 29 KARLOVAC
685,BARILOVIC,3,BIRACKO MJESTO BR 3,VATROGASNI DOM BARILOVIC,BARILOVIC BARILOVIC,271,153,14,,,84,43,3 BIRACKO MJESTO BR 3 BARILOVIC
686,BOSILJEVO,3,BIRACKO MJESTO BR 3,PRIKUPLJE VATROGASNI DOM,PRIBANJCI 50 BOSILJEVO,414,236,11,,,74,116,3 BIRACKO MJESTO BR 3 BOSILJEVO
687,CETINGRAD,3,BIRACKO MJESTO BR 3,KUCA NIKOLE VALENTICA,KRUSKOVACA 44 CETINGRAD,339,95,4,,,52,25,3 BIRACKO MJESTO BR 3 CETINGRAD
688,DELNICE,3,BIRACKO MJESTO BR 3,ZGRADA RADNICKOG DOMA DELNICE,DELNICE SKOLSKA 24 DELNICE,1107,584,44,,,161,196,3 BIRACKO MJESTO BR 3 DELNICE
689,DRAGANIC,3,BIRACKO MJESTO BR 3,UREDSKI KONTEJNER NA JAVNOJ POVRSINI SAP,BUDROVCI BB DRAGANIC,600,309,20,,,152,77,3 BIRACKO MJESTO BR 3 DRAGANIC
690,DUGA RESA,3,BIRACKO MJESTO BR 3,PROSTORIJE MO DONJE MRZLO POLJE NA NOGOMETNOM IGRALISTU U DONJEM MRZLOM POLJU MERGED HETERO,DONJE MRZLO POLJE BB DUGA RESA,438,239,27,,,92,79,BIRACKO MJESTO BR 3DUGA RESA MERGED HETERO
691,FUZINE,3,BIRACKO MJESTO BR 3,DOM KULTURE U LICU,LIC VICICEVA 31 FUZINE,457,197,8,,,56,86,3 BIRACKO MJESTO BR 3 FUZINE
692,GENERALSKI STOL,3,BIRACKO MJESTO BR 3,TRGOVINA HALAR,ERDELJ 64 GENERALSKI STOL,319,143,10,,,100,10,3 BIRACKO MJESTO BR 3 GENERALSKI STOL
693,JOSIPDOL,3,BIRACKO MJESTO BR 3,KUCA JOSIPA BOZICEVICA OSTARIJE,CAKOVAC 408 JOSIPDOL,172,101,19,,,50,15,3 BIRACKO MJESTO BR 3 JOSIPDOL
694,KARLOVAC,3,BIRACKO MJESTO BR 3,MV TREND DOO NOVA TRZNICA MERGED HETERO,TRG JOSIPA BROZA 4 KARLOVAC,576,360,20,,,96,179,BIRACKO MJESTO BR 3KARLOVAC MERGED HETERO
695,LASINJA,3,BIRACKO MJESTO BR 3,ZGRADA OPCINE SOBA BR 2 U PRIZEMLJU,LASINJSKA CESTA 19 LASINJA,499,291,36,,,156,61,3 BIRACKO MJESTO BR 3 LASINJA
696,MAKARSKA,3,BIRACKO MJESTO BR 3,UDRUGA SUNCE,KRALJA PETRA KRESIMIRA IV BR9 MAKARSKA,2409,1199,106,,,423,549,3 BIRACKO MJESTO BR 3 MAKARSKA
697,NETRETIC,3,BIRACKO MJESTO BR 3,KUCA DRAGUTINA KUSAN,BRAJAKOVO BRDO 53 NETRETIC,114,53,5,,,28,9,3 BIRACKO MJESTO BR 3 NETRETIC
698,NOVI VINODOLSKI,3,BIRACKO MJESTO BR 3,PROSTOR OBITELJSKOG DOMA ZA STARIJE I NEMOCNE OSOBE NVINODOLSKI MERGED HETERO,POVILE M BUTKOVICA BB NOVI VINODOLSKI,242,152,7,,,68,56,BIRACKO MJESTO BR 3NOVI VINODOLSKI MERGED HETERO
699,OGULIN,3,BIRACKO MJESTO BR 3,PODRUCNA SKOLA TROSMARIJA,TROSMARIJA 1 OGULIN,90,67,1,,,44,20,3 BIRACKO MJESTO BR 3 OGULIN
700,PLASKI,3,BIRACKO MJESTO BR 3,ZGRADA KNJIZNICE I CITAONICE MERGED HETERO,SABORCANSKA 3 PLASKI,362,151,18,,,50,64,BIRACKO MJESTO BR 3PLASKI MERGED HETERO
701,RAKOVICA,3,BIRACKO MJESTO BR 3,PODRUCNA SKOLA U SELISTU DREZNICKOM MERGED HETERO,SELISTE DREZNICKO RAKOVICA,469,219,9,,,151,27,BIRACKO MJESTO BR 3RAKOVICA MERGED HETERO
702,RAVNA GORA,3,BIRACKO MJESTO BR 3,OSNOVNA SKOLA DR BMARKOVICA PODRUCNA SKOLA STARA SUSICA,STARA SUSICA KAROLINSKA CESTA 62 RAVNA GORA,219,112,4,,,47,43,3 BIRACKO MJESTO BR 3 RAVNA GORA
703,SLUNJ,3,BIRACKO MJESTO BR 3,VATROGASNI DOM SLUNJ,ULICA PLITVICKA 9 SLUNJ,603,284,23,,,152,62,3 BIRACKO MJESTO BR 3 SLUNJ
704,TOUNJ,3,BIRACKO MJESTO BR 3,OSNOVNA SKOLA LUCIJA CAPAN,ZDENAC 45 TOUNJ,240,93,16,,,51,8,3 BIRACKO MJESTO BR 3 TOUNJ
705,VINODOLSKA OPCINA,3,BIRACKO MJESTO BR 3,PROSTORIJE DOM KULTURE U GRIZANIMABELGRAD,GRIZANE 47 VINODOLSKA OPCINA,839,437,42,,,127,193,3 BIRACKO MJESTO BR 3 VINODOLSKA OPCINA
706,VOJNIC,3,BIRACKO MJESTO BR 3,BUKOVICA UTINJSKA KUCA JEKE BIJELIC,BUKOVICA UTINJSKA 27 VOJNIC,49,29,2,,,1,19,3 BIRACKO MJESTO BR 3 VOJNIC
707,VRBOVSKO,3,BIRACKO MJESTO BR 3,ZGRADA SUMARIJE VRBOVSKO,VRBOVSKO IVANA GORANA KOVACICA 21 VRBOVSKO,468,240,14,,,75,106,3 BIRACKO MJESTO BR 3 VRBOVSKO
708,KLINCA SELA,3,BIRACKO MJESTO BR 3 BETER III,KUCA FRANJE KELECICA,NOVO SELO OKICKO 14 KLINCA SELA,154,109,6,,,42,42,3 BIRACKO MJESTO BR 3 BETER III KLINCA SELA
709,PODBABLJE,3,BIRACKO MJESTO BR 3 GRUBINE,MJESNI ODBOR GRUBINE PODRUCNA SKOLA GRUBINE,GRUBINE PODBABLJE,828,484,61,,,373,14,3 BIRACKO MJESTO BR 3 GRUBINE PODBABLJE
710,LECEVICA,3,BIRACKO MJESTO BR 3 LECEVICA,OS LECEVICA,LECEVICA ULICA HRVATSKIH MUCENIKA 9 LECEVICA,148,97,9,,,79,7,3 BIRACKO MJESTO BR 3 LECEVICA LECEVICA
711,SEGET,3,BIRACKO MJESTO BR 3 U SEGETU GORNJEM,ZADRUZNI DOM SEGET GORNJI,SEGET GORNJI SEGET,158,84,4,,,60,15,3 BIRACKO MJESTO BR 3 U SEGETU GORNJEM SEGET
712,CABAR,3,BIRACKO MJESTO BR 3 U TRSCU,ZGRADA DRUSTVENOG DOMA U TRSCU,SKOLSKA 1 TRSCE CABAR,812,361,18,,,88,153,3 BIRACKO MJESTO BR 3 U TRSCU CABAR
713,KARLOVAC,30,BIRACKO MJESTO BR 30,LOVACKI DOM LISICA,BREZANI 9 A KARLOVAC,108,56,1,,,47,6,30 BIRACKO MJESTO BR 30 KARLOVAC
714,KARLOVAC,31,BIRACKO MJESTO BR 31,GIMNAZIJA KARLOVAC,RAKOVAC 4 KARLOVAC,1103,679,41,,,215,302,31 BIRACKO MJESTO BR 31 KARLOVAC
715,KARLOVAC,32,BIRACKO MJESTO BR 32,EKONOMSKA SKOLA KARLOVAC,KURELCEVA 2 KARLOVAC,243,136,9,,,36,59,32 BIRACKO MJESTO BR 32 KARLOVAC
716,KARLOVAC,33,BIRACKO MJESTO BR 33,PROSTORIJE GRADSKE CETVRTI RAKOVAC,DOMOBRANSKA 20 C KARLOVAC,1254,742,51,,,233,324,33 BIRACKO MJESTO BR 33 KARLOVAC
717,KARLOVAC,34,BIRACKO MJESTO BR 34,GIMNAZIJA KARLOVAC,RAKOVAC 4 KARLOVAC,470,312,17,,,80,140,34 BIRACKO MJESTO BR 34 KARLOVAC
718,KARLOVAC,35,BIRACKO MJESTO BR 35,PROSTORIJE MO LOGORISTE,LOGORISTE 38 KARLOVAC,339,202,12,,,90,58,35 BIRACKO MJESTO BR 35 KARLOVAC
719,KARLOVAC,36,BIRACKO MJESTO BR 36,PROSTORIJE MO MALA SVARCA,MALA SVARCA 84 KARLOVAC,670,433,23,,,220,108,36 BIRACKO MJESTO BR 36 KARLOVAC
720,KARLOVAC,37,BIRACKO MJESTO BR 37,PROSTORIJE GC SVARCA,TRG SVFRANJE KSAVERSKOG 2 KARLOVAC,917,611,72,,,259,168,37 BIRACKO MJESTO BR 37 KARLOVAC
721,KARLOVAC,38,BIRACKO MJESTO BR 38,PROSTORIJE GC SVARCA,TRG SVFRANJE KSAVERKOG 2 KARLOVAC,1708,973,56,,,392,355,38 BIRACKO MJESTO BR 38 KARLOVAC
722,KARLOVAC,39,BIRACKO MJESTO BR 39,PROSTORIJE GC JAMADOLLUSCIC MERGED HETERO,MEDOVICEVA 5 C KARLOVAC,1054,629,49,,,217,253,BIRACKO MJESTO BR 39KARLOVAC MERGED HETERO
723,BARILOVIC,4,BIRACKO MJESTO BR 4,SKOLA U VELEMERICU MERGED HETERO,VELEMERIC BARILOVIC,220,100,7,,,59,16,BIRACKO MJESTO BR 4BARILOVIC MERGED HETERO
724,BOSILJEVO,4,BIRACKO MJESTO BR 4,VODENA DRAGA STANICA ZA OTKUP MLIJEKA,VODENA DRAGA BB BOSILJEVO,37,26,0,,,14,10,4 BIRACKO MJESTO BR 4 BOSILJEVO
725,CETINGRAD,4,BIRACKO MJESTO BR 4,KUCA IVANA RAKOCIJE,TATAR VAROS 115 CETINGRAD,230,112,4,,,88,4,4 BIRACKO MJESTO BR 4 CETINGRAD
726,DELNICE,4,BIRACKO MJESTO BR 4,ZGRADA SUDA DELNICE,DELNICE TINA UJEVICA 1 DELNICE,1248,609,35,,,156,242,4 BIRACKO MJESTO BR 4 DELNICE
727,DRAGANIC,4,BIRACKO MJESTO BR 4,VATROGASNI DOM MRZLJAKIGOLJAK,MRZLJAKI 3 DRAGANIC,815,459,22,,,198,108,4 BIRACKO MJESTO BR 4 DRAGANIC
728,DUGA RESA,4,BIRACKO MJESTO BR 4,UDRUZENJE UMIROVLJENIKA,JOSEFA JERUZALEMA 2 DUGA RESA,609,307,17,,,130,91,4 BIRACKO MJESTO BR 4 DUGA RESA
729,GENERALSKI STOL,4,BIRACKO MJESTO BR 4,DOM GENERALSKI STOL,GENERALSKI STOL 32 GENERALSKI STOL,769,383,33,,,199,76,4 BIRACKO MJESTO BR 4 GENERALSKI STOL
730,JOSIPDOL,4,BIRACKO MJESTO BR 4,PROSTORIJE SKOLE,MODRUS BB JOSIPDOL,122,63,4,,,54,2,4 BIRACKO MJESTO BR 4 JOSIPDOL
731,KARLOVAC,4,BIRACKO MJESTO BR 4,VELEUCILISTE KARLOVAC,MESTROVICEVA 10 KARLOVAC,748,455,17,,,118,226,4 BIRACKO MJESTO BR 4 KARLOVAC
732,KRNJAK,4,BIRACKO MJESTO BR 4,KUCA MRKIC PREDRAGAPERICI 9 MERGED HETERO,PERICI KRNJAK,37,16,1,,,1,8,BIRACKO MJESTO BR 4KRNJAK MERGED HETERO
733,LASINJA,4,BIRACKO MJESTO BR 4,ZGRADA DRUSTVENOG DOMA,DESNO SREDICKO BB LASINJA,169,97,6,,,45,25,4 BIRACKO MJESTO BR 4 LASINJA
734,MAKARSKA,4,BIRACKO MJESTO BR 4,STARA SKOLA MERGED HETERO,DON M PAVLINOVICA 1 MAKARSKA,755,348,34,,,127,139,BIRACKO MJESTO BR 4MAKARSKA MERGED HETERO
735,NETRETIC,4,BIRACKO MJESTO BR 4,ZGRADA PODRUCNE SKOLE DONJE STATIVE,DONJE STATIVE NETRETIC,198,104,2,,,43,30,4 BIRACKO MJESTO BR 4 NETRETIC
736,NOVI VINODOLSKI,4,BIRACKO MJESTO BR 4,PROSTORIJE BIVSE OSNOVNE SKOLE DONJI ZAGON MERGED HETERO,DONJI ZAGON BB NOVI VINODOLSKI,121,66,1,,,26,29,BIRACKO MJESTO BR 4NOVI VINODOLSKI MERGED HETERO
737,OGULIN,4,BIRACKO MJESTO BR 4,DOM SV ANTUN,ZEGAR 1 OGULIN,969,548,88,,,225,151,4 BIRACKO MJESTO BR 4 OGULIN
738,RAKOVICA,4,BIRACKO MJESTO BR 4,LOVACKI DOM U NOVOJ KRSLJI MERGED HETERO,NOVA KRSLJA RAKOVICA,70,32,0,,,20,7,BIRACKO MJESTO BR 4RAKOVICA MERGED HETERO
739,RAVNA GORA,4,BIRACKO MJESTO BR 4,VATROGASNI DOM STARI LAZ,STARI LAZ STARI LAZ 80 A RAVNA GORA,173,104,9,,,38,26,4 BIRACKO MJESTO BR 4 RAVNA GORA
