,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,HDZ,SDP,BM
4064,SPLIT,56,SPLIT,ZGRADA STANOUPRAVE,"PUT SKALICA 18, SPLIT",1138,652,108,182,115,"56 SPLIT, SPLIT"
4065,SUPETAR,6,SPLITSKA,PUČKI DOM,"SPLITSKA, SUPETAR",414,171,13,63,50,"6 SPLITSKA, SUPETAR"
4066,SRAČINEC,1,SRAČINEC,PROSTORIJE OSNOVNE ŠKOLE SRAČINEC PRIZEMLJE,"VARAŽDINSKA 98, SRAČINEC",987,421,8,59,106,"1 SRAČINEC, SRAČINEC"
4067,GRAČAC,4,SRB,OSNOVNA ŠKOLA NIKOLE TESLE SOBA BR1 MERGED HETERO,"ŠKOLSKA BB, GRAČAC",625,55,1,12,19,SRB MERGED HETERO
4068,RIJEKA,16,SRDOČI,PROSTORIJE MJESNOG ODBORA,"MIROSLAVA KRLEŽE 4, RIJEKA",1443,656,56,191,217,"16 SRDOČI, RIJEKA"
4069,ŽUPA DUBROVAČKA,5,SREBRENO,PROSTORIJE OPĆINE ŽUPA DUBROVAČKA U SREBRENOM,"VUKOVARSKA 48, ŽUPA DUBROVAČKA",1811,736,103,329,110,"5 SREBRENO, ŽUPA DUBROVAČKA"
4070,DONJI ANDRIJEVCI,5,SREDANCI,DRUŠTVENI DOM U SREDANCIMA,"SREDANCI 24, DONJI ANDRIJEVCI",260,124,3,62,4,"5 SREDANCI, DONJI ANDRIJEVCI"
4071,KAPELA,4,SREDNJA DIKLENICA,DRUŠTVENI DOM,"SREDNJA DIKLENICA 23, KAPELA",49,19,3,12,2,"4 SREDNJA DIKLENICA, KAPELA"
4072,MAJUR,8,SREDNJA MEMINSKA,BIVŠA TRGOVINA,"SREDNJA MEMINSKA, MAJUR",53,17,0,4,12,"8 SREDNJA MEMINSKA, MAJUR"
4073,SOLIN,18,SREDNJA STRANA I,PROSTORIJE MO SREDNJA STRANA,"BRAĆE RADIĆA 65, SOLIN",880,474,57,212,41,"18 SREDNJA STRANA I, SOLIN"
4074,SOLIN,19,SREDNJA STRANA II,DJEČJI VRTIĆ CVRČAK TRATINČICA,"DON LOVRE KATIĆA 50, SOLIN",1150,481,70,190,58,"19 SREDNJA STRANA II, SOLIN"
4075,SOLIN,20,SREDNJA STRANA III,PROSTORIJE DJEČJEG VRTIĆA CVRČAK TRATINČICA,"DON LOVRE KATIĆA 50, SOLIN",971,457,50,218,71,"20 SREDNJA STRANA III, SOLIN"
4076,SOLIN,21,SREDNJA STRANA IV,DJEČJI VRTIĆ CVRČAK TRATINČICA,"DON LOVRE KATIĆA 50, SOLIN",903,447,52,221,28,"21 SREDNJA STRANA IV, SOLIN"
4077,PRESEKA,13,SREDNJA VELIKA,OBITELJSKA KUĆA  HRGOVAN DAVORA,"SREDNJA VELIKA 13A, PRESEKA",33,19,0,3,11,"13 SREDNJA VELIKA, PRESEKA"
4078,PAKRAC,18,SREDNJA ŠKOLA PEDAGOŠKA,PAKRAC,"ALEJA KESTENOVA 37, PAKRAC",637,305,12,180,56,"18 SREDNJA ŠKOLA PEDAGOŠKA, PAKRAC"
4079,PETRINJA,23,SREDNJE MOKRICE,DRUŠTVENI DOM SREDNJE MOKRICE,"SREDNJE MOKRICE, PETRINJA",185,101,4,56,22,"23 SREDNJE MOKRICE, PETRINJA"
4080,ŠOLTA,3,SREDNJE SELO,PROSTORIJE MJESNOG ODBORA,"SREDNJE SELO, ŠOLTA",129,77,5,26,16,"3 SREDNJE SELO, ŠOLTA"
4081,KRIŽEVCI,26,SREDNJI DUBOVEC,VATROGASNI DOM SREDNJI DUBOVEC,"SREDNJI DUBOVEC, KRIŽEVCI",169,84,0,43,20,"26 SREDNJI DUBOVEC, KRIŽEVCI"
4082,NOVA KAPELA,5,SREDNJI LIPOVAC,DRUŠTVENI DOM MERGED HETERO,"SREDNJI LIPOVAC 55, NOVA KAPELA",212,124,2,77,11,SREDNJI LIPOVAC MERGED HETERO
4083,KAPELA,15,SREDNJI MOSTI,VATROGASNI DOM,"SREDNJI MOSTI 31A, KAPELA",61,27,1,8,8,"15 SREDNJI MOSTI, KAPELA"
4084,JANJINA,2,SRESER,URED TURISTIČKE ZAJEDNICE U SRESERU,"SRESER, KRAJ 6, JANJINA",182,84,9,36,27,"2 SRESER, JANJINA"
