,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,HDZ,SDP,BM
1232,DARUVAR,17,DONJI DARUVAR,VATROGASNI DOM DONJI DARUVAR,"MATIJE GUPCA 163, DARUVAR",744,278,12,96,89,"17 DONJI DARUVAR, DARUVAR"
1233,JASTREBARSKO,2,DONJI DESINEC,DOM DVD,"DONJI DESINEC, JASTREBARSKO",666,303,12,95,91,"2 DONJI DESINEC, JASTREBARSKO"
1234,DEŽANOVAC,2,DONJI DEŽANOVAC,DRUŠTVENI DOM,"DONJI DEŽANOVAC 285, DEŽANOVAC",431,164,18,39,55,"2 DONJI DEŽANOVAC, DEŽANOVAC"
1235,OMIŠ,36,DONJI DOLAC I  RUPA,PROSTORIJE BIVŠE OŠ RUPADONJI DOLAC,"DONJI DOLAC, OMIŠ",150,85,4,51,7,"36 DONJI DOLAC I  RUPA, OMIŠ"
1236,OMIŠ,37,DONJI DOLAC II   SMAJIĆI,PROSTORIJE BIVŠE OŠ SMAJIĆIDONJI DOLAC,"DONJI DOLAC, OMIŠ",76,32,3,17,2,"37 DONJI DOLAC II   SMAJIĆI, OMIŠ"
1237,OMIŠ,38,DONJI DOLAC III ROŠCA,OBITELJSKA KUĆA POKŽELJKA ŠOŠIĆA DONJI DOLAC 173B ROŠCA MERGED HETERO,"DONJI DOLAC, OMIŠ",83,39,6,15,1,DONJI DOLAC III ROŠCA MERGED HETERO
1238,ČAZMA,20,DONJI DRAGANEC,DOM DONJI DRAGANEC,"DONJI DRAGANEC 56, ČAZMA",105,52,1,15,17,"20 DONJI DRAGANEC, ČAZMA"
1239,ČAZMA,13,DONJI DRAGIČEVCI,KUĆA JADRANKE PAPIĆ,"DONJI DRAGIČEVCI 5A, ČAZMA",28,21,1,11,3,"13 DONJI DRAGIČEVCI, ČAZMA"
1240,SUNJA,16,DONJI HRASTOVAC,DRUŠTVENI DOM,"DONJI HRASTOVAC 187/A, SUNJA",182,58,0,22,20,"16 DONJI HRASTOVAC, SUNJA"
1241,DONJI KRALJEVEC,5,DONJI HRAŠĆAN,DOM KULTURE,"DONJI HRAŠĆAN 96, DONJI KRALJEVEC",410,175,0,45,94,"5 DONJI HRAŠĆAN, DONJI KRALJEVEC"
1242,KRAVARSKO,3,DONJI HRUŠEVEC,OPĆINSKI DOM,"DONJI HRUŠEVEC 13, KRAVARSKO",264,125,5,80,9,"3 DONJI HRUŠEVEC, KRAVARSKO"
1243,NEREŽIŠĆA,2,DONJI HUMAC,HRVATSKI DOM RETOND,"DONJI HUMAC 15, NEREŽIŠĆA",159,89,9,36,26,"2 DONJI HUMAC, NEREŽIŠĆA"
1244,BENKOVAC,29,DONJI KARIN,TRGOVINA VLASNIŠTVO SLAVKO JABLAN KARIN PLAŽA,"DONJI KARIN, BENKOVAC",331,30,0,10,9,"29 DONJI KARIN, BENKOVAC"
1245,GORNJI KNEGINEC,1,DONJI KNEGINEC,PROSTORIJE DRUŠTVENOG DOMA,"ZAVRTNA BB, GORNJI KNEGINEC",635,260,3,111,59,"1 DONJI KNEGINEC, GORNJI KNEGINEC"
1246,SELNICA,2,DONJI KONCOVČAK,DRUŠTVENI DOM U DONJEM KONCOVČAKU,"DONJI KONCOVČAK 39A, SELNICA",266,108,2,36,50,"2 DONJI KONCOVČAK, SELNICA"
1247,DONJI KRALJEVEC,1,DONJI KRALJEVEC,OSNOVNA ŠKOLA,"ČAKOVEČKA 7, DONJI KRALJEVEC",608,321,4,74,172,"1 DONJI KRALJEVEC, DONJI KRALJEVEC"
1248,DONJI KRALJEVEC,2,DONJI KRALJEVEC,PROSTORIJE OPĆINE,"KOLODVORSKA ULICA 52D, DONJI KRALJEVEC",672,301,6,95,150,"2 DONJI KRALJEVEC, DONJI KRALJEVEC"
1249,POPOVAČA,5,DONJI KRIVAJ,VATROGASNI DOM,"DONJI KRIVAJ, POPOVAČA",106,42,2,14,10,"5 DONJI KRIVAJ, POPOVAČA"
1250,DONJI KUKURUZARI,2,DONJI KUKURUZARI,ZGRADA OPĆINE DVORANA ZA UDRUGE,"ULICA DON ANTE LIZATOVIĆA 2, DONJI KUKURUZARI",387,182,11,117,25,"2 DONJI KUKURUZARI, DONJI KUKURUZARI"
1251,VARAŽDIN,50,DONJI KUĆAN,PROSTORIJE VATROGASNOG DOMA,"DONJI KUĆAN, VARAŽDIN",641,271,15,77,86,"50 DONJI KUĆAN, VARAŽDIN"
1252,DONJI LAPAC,1,DONJI LAPAC,OSNOVNA ŠKOLA DONJI LAPAC,"DONJI LAPAC, STOJANA MATIĆA 18, DONJI LAPAC",682,209,6,71,87,"1 DONJI LAPAC, DONJI LAPAC"
1253,DONJI LAPAC,2,DONJI LAPAC,OSNOVNA ŠKOLA DONJI LAPAC,"DONJI LAPAC, STOJANA MATIĆA 18, DONJI LAPAC",342,41,0,2,36,"2 DONJI LAPAC, DONJI LAPAC"
1254,NOVA KAPELA,4,DONJI LIPOVAC,DRUŠTVENI DOM MERGED HETERO,"DONJI LIPOVAC 46, NOVA KAPELA",191,100,3,46,20,DONJI LIPOVAC MERGED HETERO
1255,ĐURMANECĐURMANEC,5,DONJI MACELJ,PODRUČNA ŠKOLA MACELJ UČIONICA BR 1PODRUČNA ŠKOLA MACELJ UČIONICA BR 2 MERGED HETERO,"DONJI MACELJ 126, ĐURMANECDONJI MACELJ 126, ĐURMANEC",616,294,7,103,125,DONJI MACELJ MERGED HETERO
1256,FARKAŠEVAC,3,DONJI MARKOVAC,DRUŠTVENI DOM DONJI MARKOVAC,"DONJI MARKOVAC, FARKAŠEVAC",38,18,2,4,10,"3 DONJI MARKOVAC, FARKAŠEVAC"
1257,SOKOLOVAC,6,DONJI MASLARAC,DRUŠTVENI DOM,"DONJI MASLARAC, SOKOLOVAC",119,63,3,51,3,"6 DONJI MASLARAC, SOKOLOVAC"
1258,SLATINA,3,DONJI MELJANI,PODRUČNA OSNOVNA ŠKOLA,"DONJI MELJANI, SLATINA",207,92,1,44,15,"3 DONJI MELJANI, SLATINA"
1259,SVETA MARIJA,3,DONJI MIHALJEVEC,DOM KULTURE DONJI MIHALJEVEC,"ČAKOVEČKA 42, SVETA MARIJA",608,260,4,54,149,"3 DONJI MIHALJEVEC, SVETA MARIJA"
1260,DONJI MIHOLJAC,8,DONJI MIHOLJAC,GRADSKA UPRAVA DVORAC MAILATH MALA SALA,"VUKOVARSKA 1, DONJI MIHOLJAC",576,207,16,80,41,"8 DONJI MIHOLJAC, DONJI MIHOLJAC"
1261,DONJI MIHOLJAC,7,DONJI MIHOLJAC,GRADSKA UPRAVA DVORAC MAILATH VELIKA SALA,"VUKOVARSKA 1, DONJI MIHOLJAC",644,253,22,101,54,"7 DONJI MIHOLJAC, DONJI MIHOLJAC"
1262,DONJI MIHOLJACDONJI MIHOLJAC,7,DONJI MIHOLJAC,OBRTNIČKI DOM,"KOLODVORSKA 41, DONJI MIHOLJACKOLODVORSKA 41, DONJI MIHOLJAC",1370,543,25,219,132,"3 DONJI MIHOLJAC, DONJI MIHOLJAC4 DONJI MIHOLJAC, DONJI MIHOLJAC"
1263,DONJI MIHOLJACDONJI MIHOLJAC,3,DONJI MIHOLJAC,SREDNJA ŠKOLA,"VUKOVARSKA 84, DONJI MIHOLJACVUKOVARSKA 84, DONJI MIHOLJAC",1122,499,22,180,145,"1 DONJI MIHOLJAC, DONJI MIHOLJAC2 DONJI MIHOLJAC, DONJI MIHOLJAC"
1264,DONJI MIHOLJACDONJI MIHOLJAC,11,DONJI MIHOLJAC,NARODNA KNJIŽNICA GRADA DONJEG MIHOLJCA MERGED HETERO,"TRG ANTE STARČEVIĆA 22, DONJI MIHOLJACTRG ANTE STARČEVIĆA 22, DONJI MIHOLJAC",1238,555,30,204,131,DONJI MIHOLJAC MERGED HETERO
1265,ČAZMA,29,DONJI MIKLOUŠ,DOM DONJI MIKLOUŠ,"DONJI MIKLOUŠ 144, ČAZMA",156,63,4,23,18,"29 DONJI MIKLOUŠ, ČAZMA"
1266,KAPELA,16,DONJI MOSTI,VATROGASNI DOM,"DONJI MOSTI 57, KAPELA",148,58,1,21,15,"16 DONJI MOSTI, KAPELA"
1267,KRIŽ,6,DONJI PRNJAROVEC,DRUŠTVENI DOM,"DONJI PRNJAROVEC 20, KRIŽ",57,22,1,6,2,"6 DONJI PRNJAROVEC, KRIŽ"
1268,DONJI KRALJEVEC,6,DONJI PUSTAKOVEC,DOM KULTURE,"DONJI PUSTAKOVEC 111, DONJI KRALJEVEC",232,122,5,29,55,"6 DONJI PUSTAKOVEC, DONJI KRALJEVEC"
1269,PODCRKAVLJE,8,DONJI SLATINIK,DRUŠTVENI DOM U DONJEM SLATINIKU,"DONJI SLATINIK, PODCRKAVLJE",139,73,2,49,8,"8 DONJI SLATINIK, PODCRKAVLJE"
1270,DEŽANOVAC,10,DONJI SREĐANI,ČEŠKI DOM,"DONJI SREĐANI 22, DEŽANOVAC",127,25,2,6,6,"10 DONJI SREĐANI, DEŽANOVAC"
1271,VRBOVEC,40,DONJI TKALEC,KUĆA ĐURE GLAVINCA MERGED HETERO,"DONJI TKALEC 9, VRBOVEC",80,43,1,26,2,DONJI TKALEC MERGED HETERO
1272,PLITVIČKA JEZERA,6,DONJI VAGANAC,OSNOVNA ŠKOLA DONJI VAGANAC,"VAGANAC BR. 26/1, PLITVIČKA JEZERA",138,94,5,72,1,"6 DONJI VAGANAC, PLITVIČKA JEZERA"
1273,STARA GRADIŠKA,2,DONJI VAROŠ,MJESNI DOM DONJI VAROŠ,"DONJI VAROŠ 70, STARA GRADIŠKA",252,132,1,54,46,"2 DONJI VAROŠ, STARA GRADIŠKA"
1274,DONJI VIDOVEC,1,DONJI VIDOVEC,DOM KULTURE  PROSTORIJA 1,"RADE KONČARA 9, DONJI VIDOVEC",526,171,7,44,81,"1 DONJI VIDOVEC, DONJI VIDOVEC"
1275,DONJI VIDOVEC,2,DONJI VIDOVEC,DOM KULTURE  PROSTORIJA 2,"RADE KONČARA 9, DONJI VIDOVEC",619,210,11,56,110,"2 DONJI VIDOVEC, DONJI VIDOVEC"
1276,LEKENIK,9,DONJI VUKOJEVAC,DRUŠTVENI DOM JOSIP BIREK,"DONJI VUKOJEVAC, LEKENIK",419,178,20,60,42,"9 DONJI VUKOJEVAC, LEKENIK"
1277,KUMROVEC,3,DONJI ŠKRNIK,OBITELJSKA KUĆA DRAGUTINA ŠPILJARA,"DONJI ŠKRNIK 28, KUMROVEC",126,64,0,9,16,"3 DONJI ŠKRNIK, KUMROVEC"
1278,DVOR,10,DONJI ŽIROVAC,PROSTORIJE DRUŠTVENOG DOMA,"DONJI ŽIROVAC BB, DVOR",107,11,0,0,8,"10 DONJI ŽIROVAC, DVOR"
1279,VLADISLAVCI,3,DOPSIN,DOM KULTURE MERGED HETERO,"JOSIPA JURJA STROSSMAYERA 70, VLADISLAVCI",400,214,5,146,25,DOPSIN MERGED HETERO
1280,"ZAGREB-CENTAR, ZAPAD",98,DOTRŠČINA,PROSTORIJE MJESNOG ODBORA,"JAZBINSKI ODVOJAK II. 6, ZAGREB-CENTAR, ZAPAD",844,404,48,144,68,"98 DOTRŠČINA, ZAGREBCENTAR ZAPAD"
1281,"ZAGREB-CENTAR, ZAPAD",99,DOTRŠČINA,PROSTORIJE MJESNOG ODBORA,"JAZBINSKI ODVOJAK II. 6, ZAGREB-CENTAR, ZAPAD",824,453,33,160,88,"99 DOTRŠČINA, ZAGREBCENTAR ZAPAD"
1282,"ZAGREB-CENTAR, ZAPAD",133,DR ANTE STARČEVIĆ,OŠ VOLTINO,"VINKOVAČKA ULICA 1, ZAGREB-CENTAR, ZAPAD",1127,518,44,124,123,"133 DR ANTE STARČEVIĆ, ZAGREBCENTAR ZAPAD"
1283,"ZAGREB-CENTAR, ZAPAD",134,DR ANTE STARČEVIĆ,OŠ VOLTINO,"VINKOVAČKA ULICA 1, ZAGREB-CENTAR, ZAPAD",1109,499,38,101,137,"134 DR ANTE STARČEVIĆ, ZAGREBCENTAR ZAPAD"
1284,"ZAGREB-CENTAR, ZAPAD",135,DR ANTE STARČEVIĆ,OŠ VOLTINO,"VINKOVAČKA ULICA 1, ZAGREB-CENTAR, ZAPAD",1122,524,41,126,143,"135 DR ANTE STARČEVIĆ, ZAGREBCENTAR ZAPAD"
1285,"ZAGREB-CENTAR, ZAPAD",136,DR ANTE STARČEVIĆ,OŠ VOLTINO,"VINKOVAČKA ULICA 1, ZAGREB-CENTAR, ZAPAD",1117,592,46,126,131,"136 DR ANTE STARČEVIĆ, ZAGREBCENTAR ZAPAD"
1286,"ZAGREB-CENTAR, ZAPAD",137,DR ANTE STARČEVIĆ,OŠ VOLTINO,"VINKOVAČKA ULICA 1, ZAGREB-CENTAR, ZAPAD",1096,522,38,127,149,"137 DR ANTE STARČEVIĆ, ZAGREBCENTAR ZAPAD"
1287,RIJEKA,100,DRAGA,HRVATSKI DOM DRAGA,"BRIG 24, RIJEKA",1228,494,42,142,160,"100 DRAGA, RIJEKA"
1288,BAŠKA,4,DRAGA BAŠĆANSKA,PROSTZADRDOMADRAGA BAŠĆANSKA,"DRAGA BAŠĆANSKA 239, BAŠKA",286,120,9,26,46,"4 DRAGA BAŠĆANSKA, BAŠKA"
1289,JASTREBARSKO,29,DRAGA SVETOJANSKA,PROSTORIJE TRGOVINE VL ĐURĐE BRADVIĆ,"DRAGA SVETOJANSKA 28, JASTREBARSKO",131,53,0,25,10,"29 DRAGA SVETOJANSKA, JASTREBARSKO"
1290,DRAGALIĆ,2,DRAGALIĆ,DRUŠTVENI DOM DRAGALIĆ,"TRG.SV. IVANA KRSTITELJA 2, DRAGALIĆ",460,231,1,107,43,"2 DRAGALIĆ, DRAGALIĆ"
1291,PODRAVSKE SESVETE,4,DRAGANCI,DRUŠTVENI DOM DRAGANCI,"DRAGANCI 38 A, PODRAVSKE SESVETE",84,44,0,21,4,"4 DRAGANCI, PODRAVSKE SESVETE"
1292,KOPRIVNICA,4,DRAGANOVEC,DRUŠTVENI DOM DRAGANOVEC,"DRAGANOVEC, KOPRIVNICA",425,173,4,25,63,"4 DRAGANOVEC, KOPRIVNICA"
1293,PAKOŠTANE,4,DRAGE,OSNOVNA ŠKOLA U DRAGAMA,"DRAGE, PAKOŠTANE",915,421,24,217,70,"4 DRAGE, PAKOŠTANE"
1294,VRGORAC,18,DRAGLJANE,OSNOVNA ŠKOLA,"DRAGLJANE, VRGORAC",44,26,0,6,13,"18 DRAGLJANE, VRGORAC"
1295,ZAGREB-JUŽNI DIO,127,DRAGONOŽEC,PROSTORIJE MJESNOG ODBORA,"DONJODRAGONOŠKA CESTA 30, ZAGREB-JUŽNI DIO",799,416,19,119,113,"127 DRAGONOŽEC, ZAGREBJUŽNI DIO"
1296,SVETI JURAJ NA BREGU,9,DRAGOSLAVEC,DRUŠTVENI DOM DRAGOSLAVEC,"DRAGOSLAVEC 156, SVETI JURAJ NA BREGU",359,148,6,19,89,"9 DRAGOSLAVEC, SVETI JURAJ NA BREGU"
1297,GORNJI MIHALJEVEC,7,DRAGOSLAVEC SELO,DOM KULTURE,"DRAGOSLAVEC SELO 14, GORNJI MIHALJEVEC",172,79,5,9,42,"7 DRAGOSLAVEC SELO, GORNJI MIHALJEVEC"
1298,TRNAVA,6,DRAGOTIN,OSNOVNA ŠKOLA JOSIPA JURJA STROSSMAYERA TRNAVA PODRUČNA ŠKOLA DRAGOTIN,"DRAGOTIN BB, TRNAVA",190,68,1,32,14,"6 DRAGOTIN, TRNAVA"
1299,GLINA,19,DRAGOTINA,OSNOVNA ŠKOLA DRAGOTINA,"DRAGOTINA, GLINA",377,133,2,4,118,"19 DRAGOTINA, GLINA"
1300,JASTREBARSKO,22,DRAGOVANŠČAK,PROSTORIJE MNK PRIGORAC,"DRAGOVANŠČAK, JASTREBARSKO",128,49,1,26,15,"22 DRAGOVANŠČAK, JASTREBARSKO"
1301,NOVA KAPELA,12,DRAGOVCI,DRUŠTVENI DOM MERGED HETERO,"DRAGOVCI 144, NOVA KAPELA",303,119,4,64,12,DRAGOVCI MERGED HETERO
1302,SALI,7,DRAGOVE,OSNOVNA ŠKOLA DRAGOVE,"DRAGOVE, SALI",72,29,1,13,10,"7 DRAGOVE, SALI"
1303,CEROVLJE,3,DRAGUĆ,KUĆA FRESAKA BIVŠA ŠKOLA DRAGUĆ,"DRAGUĆ, CEROVLJE",156,76,3,4,44,"3 DRAGUĆ, CEROVLJE"
1304,CRIKVENICA,7,DRAMALJ,ZADRUŽNI DOM,"DRAMALJ, DRAMALJSKO SELCE 30, CRIKVENICA",1740,626,31,203,244,"7 DRAMALJ, CRIKVENICA"
1305,POLIČNIK,2,DRAČEVAC NINSKI,OSNOVNA ŠKOLA BARTOL KAŠIĆ  PODRUČNA ŠKOLA U DRAČEVCU NINSKOM,"DRAČEVAC NINSKI, POLIČNIK",272,107,1,75,11,"2 DRAČEVAC NINSKI, POLIČNIK"
1306,ZADAR,20,DRAČEVAC ZADARSKI,TRG ISPRED CRKVE UZNESENJA BLAŽENE DJEVICE MARIJE U DRAČEVCU,"DRAČEVAC, ZADAR",196,115,20,63,14,"20 DRAČEVAC ZADARSKI, ZADAR"
1307,NEREŽIŠĆA,3,DRAČEVICA,DRUŠTVENI DOM GOLUBIJERA,"DRAČEVICA 100, NEREŽIŠĆA",88,52,8,19,16,"3 DRAČEVICA, NEREŽIŠĆA"
1308,KRALJEVEC NA SUTLI,4,DRAŠE,VATROGASNI DOM DRAŠE,"DRAŠE 7, KRALJEVEC NA SUTLI",291,152,7,65,40,"4 DRAŠE, KRALJEVEC NA SUTLI"
1309,PRELOG,4,DRAŠKOVEC,DOM KULTURE,"BRAĆE RADIĆA 6, PRELOG",530,273,6,98,114,"4 DRAŠKOVEC, PRELOG"
1310,BREZNICA,6,DRAŠKOVIĆ,VATROGASNI DOM,"DRAŠKOVIĆ, BREZNICA",322,142,7,71,20,"6 DRAŠKOVIĆ, BREZNICA"
1311,PODGORA,2,DRAŠNICE,OSNOVNA ŠKOLA  DON MPAVLINOVIĆ,"DRAŠNICE, DRAŠNICE 127, PODGORA",300,143,10,66,32,"2 DRAŠNICE, PODGORA"
1312,DRAŽ,1,DRAŽ,OMLADINSKI DOM,"VLADIMIRA NAZORA BB, DRAŽ",354,198,2,131,17,"1 DRAŽ, DRAŽ"
1313,VRGORAC,20,DRAŽEVITIĆI,ZADRUŽNI DOM,"DRAŽEVITIĆI, VRGORAC",152,87,3,28,29,"20 DRAŽEVITIĆI, VRGORAC"
1314,VELIKI GRĐEVAC,9,DRAŽICA,MJESNI DOM U DRAŽICI,"DRAŽICA 71, VELIKI GRĐEVAC",106,47,0,34,1,"9 DRAŽICA, VELIKI GRĐEVAC"
1315,JELENJEJELENJE,11,DRAŽICE,U PROSTORIJI DOMA KULTUREU PROSTORIJI ČITAONICE MERGED HETERO,"DRAŽIČKIH BORACA 64, JELENJEOKRŠAJ 18, JELENJE",1784,719,52,218,237,DRAŽICE MERGED HETERO
1316,DRENJE,7,DRENJE,ZGRADA OPĆINE DRENJE,"LJUDEVITA GAJA 25, DRENJE",471,229,5,86,33,"7 DRENJE, DRENJE"
1317,RAŠA,1,DRENJE,PROSTORIJE BIVŠE OSNOVNE ŠKOLE,"DRENJE, RAŠA",226,73,8,10,36,"1 DRENJE, RAŠA"
1318,BRDOVEC,7,DRENJE BRDOVEČKO,DRUŠTVENI DOM DRENJE BRDOVEČKO,"DRENJE BRDOVEČKO, VATROGASNA 1, BRDOVEC",555,263,16,65,109,"7 DRENJE BRDOVEČKO, BRDOVEC"
1319,JASENOVAC,7,DRENOV BOK,VATROGASNI DOM,"DRENOV BOK, JASENOVAC",71,50,2,24,8,"7 DRENOV BOK, JASENOVAC"
1320,RIJEKA,34,DRENOVA,PROSTORIJE MJESNOG ODBORA,"CVETKOV TRG 1, RIJEKA",1172,471,35,136,164,"34 DRENOVA, RIJEKA"
1321,RIJEKA,35,DRENOVA,PROSTORIJE MJESNOG ODBORA,"CVETKOV TRG 1, RIJEKA",1249,455,50,123,154,"35 DRENOVA, RIJEKA"
1322,RIJEKA,36,DRENOVA,DVD DRENOVA,"CVETKOV TRG 1, RIJEKA",1336,609,42,180,201,"36 DRENOVA, RIJEKA"
1323,RIJEKA,37,DRENOVA,PROSTORIJE LINGUAE ŠKOLE STRANIH JEZIKA,"CVETKOV TRG 1, RIJEKA",1195,477,27,144,179,"37 DRENOVA, RIJEKA"
1324,RIJEKA,38,DRENOVA,ZAVIČAJNI MUZEJ MO DRENOVA,"DRENOVSKI PUT 138A, RIJEKA",860,329,27,71,110,"38 DRENOVA, RIJEKA"
1325,RIJEKA,39,DRENOVA,ZAVIČAJNI MUZEJ MO DRENOVA,"DRENOVSKI PUT 138A, RIJEKA",784,279,16,63,107,"39 DRENOVA, RIJEKA"
1326,DRENOVCIDRENOVCI,3,DRENOVCI,OPĆINSKA  NARODNA KNJIŽNICA DRENOVCIOSNOVNA ŠKOLA FRANJO HANAMAN DRENOVCI MERGED HETERO,"BRAĆE RADIĆA 2, DRENOVCIISTREV 2, DRENOVCI",1616,614,15,270,114,DRENOVCI MERGED HETERO
1327,VARAŽDINSKE TOPLICE,12,DRENOVEC,VATROGASNI DOM MERGED HETERO,"DRENOVEC, VARAŽDINSKE TOPLICE",291,96,0,60,13,DRENOVEC MERGED HETERO
1328,NOVO VIRJE,2,DRENOVICA,DRUŠTVENI DOM DRENOVICA,"TRG VLADIMIRA JAGARINCA 2, NOVO VIRJE, NOVO VIRJE",363,145,1,35,33,"2 DRENOVICA, NOVO VIRJE"
1329,ZAGREB-ISTOČNI DIO,72,DRENČEC,PROSTORIJE MJESNOG ODBORA,"ULICA SLOBODE 8, ZAGREB-ISTOČNI DIO",124,63,4,16,21,"72 DRENČEC, ZAGREBISTOČNI DIO"
1330,REŠETARI,7,DREŽNIK,DOM U DREŽNIKU,"DREŽNIK, REŠETARI",338,147,0,84,9,"7 DREŽNIK, REŠETARI"
1331,NOVA RAČA,13,DRLJANOVAC,MJESNI DOM,"DRLJANOVAC 34, NOVA RAČA",185,87,5,46,15,"13 DRLJANOVAC, NOVA RAČA"
1332,SUNJA,17,DRLJAČA,PROSTORIJA BIVŠE PODRUČNE ŠKOLE MERGED HETERO,"DRLJAČA 101, SUNJA",437,106,0,55,17,DRLJAČA MERGED HETERO
1333,ORLE,2,DRNEK,VATROGASNI DOM MERGED HETERO,"DRNEK BB, ORLE",257,115,5,57,34,DRNEK MERGED HETERO
1334,DRNJE,1,DRNJE,DRUŠTVENI DOM U DRNJU,"TRG KRALJA TOMISLAVA 30, DRNJE",731,294,12,60,109,"1 DRNJE, DRNJE"
1335,DRNJE,2,DRNJE,PROSTORIJE OPĆINE DRNJE,"TRG KRALJA TOMISLAVA 29, DRNJE",218,87,2,16,36,"2 DRNJE, DRNJE"
1336,GORNJA RIJEKA,1,DROPKOVEC,PROSTORIJE VATROGASNOG DOMA U DROPKOVCU,"DROPKOVEC 10, GORNJA RIJEKA",158,89,3,40,24,"1 DROPKOVEC, GORNJA RIJEKA"
1337,RAKOVEC,3,DROPČEVEC,OBITELJSKA KUĆA STJEPANA VINCEKA,"DROPČEVEC 2, RAKOVEC",57,53,0,26,3,"3 DROPČEVEC, RAKOVEC"
1338,MARUŠEVEC,11,DRUŠKOVEC  1,DRUŠTVENI DOM,"DRUŠKOVEC, MARUŠEVEC",292,117,0,35,31,"11 DRUŠKOVEC  1, MARUŠEVEC"
1339,MARUŠEVEC,12,DRUŠKOVEC  2,PODRUČNA ŠKOLA,"DRUŠKOVEC, MARUŠEVEC",183,87,3,20,31,"12 DRUŠKOVEC  2, MARUŠEVEC"
1340,HUM NA SUTLI,4,DRUŠKOVEC HUMSKI,PODRUČNA ŠKOLA,"DRUŠKOVEC HUMSKI, HUM NA SUTLI",548,211,2,87,89,"4 DRUŠKOVEC HUMSKI, HUM NA SUTLI"
1341,JAKŠIĆ,5,DRUŠTVENI DOM,BERTELOVCI,"BERTELOVCI 47A, JAKŠIĆ",120,64,5,25,14,"5 DRUŠTVENI DOM, JAKŠIĆ"
1342,BRESTOVAC,13,DRUŠTVENI DOM,BORIČEVCI,"BORIČEVCI BB, BRESTOVAC",108,69,3,29,23,"13 DRUŠTVENI DOM, BRESTOVAC"
1343,BRESTOVAC,10,DRUŠTVENI DOM,BUSNOVI,"BUSNOVI BB, BRESTOVAC",91,51,4,20,14,"10 DRUŠTVENI DOM, BRESTOVAC"
1344,BRESTOVAC,7,DRUŠTVENI DOM,DARANOVCI,"DARANOVCI BB, BRESTOVAC",154,91,4,58,7,"7 DRUŠTVENI DOM, BRESTOVAC"
1345,BRESTOVAC,15,DRUŠTVENI DOM,DEŽEVCI,"DEŽEVCI BB, BRESTOVAC",141,81,3,55,12,"15 DRUŠTVENI DOM, BRESTOVAC"
1346,BRESTOVAC,5,DRUŠTVENI DOM,DOLAC,"DOLAC BB, BRESTOVAC",164,74,3,33,12,"5 DRUŠTVENI DOM, BRESTOVAC"
1347,VELIKA,13,DRUŠTVENI DOM,DOLJANCI,"DOLJANCI BB, VELIKA",61,24,0,14,4,"13 DRUŠTVENI DOM, VELIKA"
1348,BRESTOVAC,9,DRUŠTVENI DOM,DONJI GUČANI,"DONJI GUČANI BB, BRESTOVAC",155,97,4,63,12,"9 DRUŠTVENI DOM, BRESTOVAC"
1349,VELIKA,9,DRUŠTVENI DOM,DRAGA,"DRAGA 34, VELIKA",206,105,6,52,13,"9 DRUŠTVENI DOM, VELIKA"
1350,POŽEGA,29,DRUŠTVENI DOM,DRŠKOVCI,"BRAĆE RADIĆA BB, POŽEGA",308,160,5,69,49,"29 DRUŠTVENI DOM, POŽEGA"
1351,VELIKA,15,DRUŠTVENI DOM,MILANOVAC,"MILANOVAC 20, VELIKA",30,15,0,5,6,"15 DRUŠTVENI DOM, VELIKA"
1352,PAKRAC,4,DRUŠTVENI DOM,NOVI MAJUR,"NOVI MAJUR 12, PAKRAC",72,38,1,24,3,"4 DRUŠTVENI DOM, PAKRAC"
1353,BRESTOVAC,4,DRUŠTVENI DOM,NURKOVAC,"NURKOVAC BB, BRESTOVAC",226,96,4,56,16,"4 DRUŠTVENI DOM, BRESTOVAC"
1354,PAKRAC,2,DRUŠTVENI DOM,OMANOVAC,"OMANOVAC 92, PAKRAC",108,50,1,34,7,"2 DRUŠTVENI DOM, PAKRAC"
1355,KUTJEVO,15,DRUŠTVENI DOM,OVČARE,"OVČARE 2, KUTJEVO",102,51,5,13,8,"15 DRUŠTVENI DOM, KUTJEVO"
1356,BRESTOVAC,14,DRUŠTVENI DOM,PAVLOVCI,"PAVLOVCI BB, BRESTOVAC",160,85,2,51,6,"14 DRUŠTVENI DOM, BRESTOVAC"
1357,VELIKA,6,DRUŠTVENI DOM,POTOČANI,"POTOČANI BB, VELIKA",150,63,9,32,6,"6 DRUŠTVENI DOM, VELIKA"
1358,JAKŠIĆ,11,DRUŠTVENI DOM,RAJSAVAC,"RAJSAVAC 44, JAKŠIĆ",281,151,15,58,30,"11 DRUŠTVENI DOM, JAKŠIĆ"
1359,KAPTOL,7,DRUŠTVENI DOM,RAMANOVCI,"RAMANOVCI 13, KAPTOL",163,78,6,31,11,"7 DRUŠTVENI DOM, KAPTOL"
1360,VELIKA,11,DRUŠTVENI DOM,STRAŽEMAN,"STRAŽEMAN 11, VELIKA",189,78,2,58,7,"11 DRUŠTVENI DOM, VELIKA"
1361,VELIKA,7,DRUŠTVENI DOM,TRNOVAC,"TRNOVAC 12, VELIKA",337,148,8,62,9,"7 DRUŠTVENI DOM, VELIKA"
1362,KUTJEVO,20,DRUŠTVENI DOM,VETOVO,"ZAGREBAČKA 1, KUTJEVO",398,154,14,93,16,"20 DRUŠTVENI DOM, KUTJEVO"
